Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Italy,Carbonia,79,Moderate,1,Good,38,Good,0,Good,79,Moderate,39.1672,8.5222
Venezuela (Bolivarian Republic of),Carora,72,Moderate,1,Good,17,Good,1,Good,72,Moderate,10.1692,-70.0783
United States of America,Carrboro,60,Moderate,2,Good,29,Good,6,Good,60,Moderate,35.9259,-79.0878
Italy,Casarano,65,Moderate,1,Good,65,Moderate,0,Good,40,Good,40.0167,18.1667
Italy,Caserta,39,Good,1,Good,39,Good,4,Good,19,Good,41.0667,14.3333
Saint Lucia,Castries,79,Moderate,0,Good,26,Good,0,Good,79,Moderate,14.0167,-60.9833
Italy,Cattolica,43,Good,1,Good,43,Good,0,Good,33,Good,43.9667,12.7333
Italy,Cerveteri,40,Good,1,Good,40,Good,4,Good,40,Good,42.0,12.1
Italy,Artena,46,Good,1,Good,46,Good,1,Good,21,Good,41.7333,12.9167
Sweden,Arvika,36,Good,0,Good,36,Good,0,Good,28,Good,59.6542,12.5914
Russian Federation,Asbest,34,Good,1,Good,34,Good,1,Good,30,Good,57.0,61.4667
Germany,Aschaffenburg,35,Good,1,Good,35,Good,1,Good,29,Good,49.9667,9.15
Germany,Ascheberg,34,Good,1,Good,34,Good,2,Good,26,Good,51.7889,7.62
Germany,Aschersleben,37,Good,1,Good,37,Good,1,Good,29,Good,51.75,11.4667
United States of America,Atlanta,99,Moderate,3,Good,0,Good,29,Good,99,Moderate,33.7628,-84.422
United States of America,Atlantic City,71,Moderate,1,Good,42,Good,4,Good,71,Moderate,39.3797,-74.4527
Iraq,Balad,118,Unhealthy for Sensitive Groups,1,Good,85,Moderate,2,Good,118,Unhealthy for Sensitive Groups,34.0164,44.1453
,Balikpapan,27,Good,1,Good,19,Good,0,Good,27,Good,-1.2768,116.8277
Mali,Bamako,72,Moderate,2,Good,15,Good,0,Good,72,Moderate,12.6458,-7.9922
Philippines,Bambang,53,Moderate,1,Good,26,Good,0,Good,53,Moderate,14.5228,121.0689
Philippines,Bambang,53,Moderate,1,Good,26,Good,0,Good,53,Moderate,16.3872,121.1075
Mali,Banamba,89,Moderate,1,Good,22,Good,1,Good,89,Moderate,13.55,-7.45
Cuba,Banes,103,Unhealthy for Sensitive Groups,1,Good,27,Good,1,Good,103,Unhealthy for Sensitive Groups,20.9697,-75.7117
Indonesia,Banjarmasin,42,Good,1,Good,20,Good,0,Good,42,Good,-3.32,114.5925
India,Barela,154,Unhealthy,1,Good,39,Good,0,Good,154,Unhealthy,23.0968,80.0508
France,Barentin,41,Good,1,Good,25,Good,3,Good,41,Good,49.5444,0.9536
Italy,Barga,40,Good,1,Good,40,Good,1,Good,37,Good,44.075,10.4817
Philippines,Barra,52,Moderate,1,Good,27,Good,1,Good,52,Moderate,-11.0889,-43.1419
Colombia,Barranquilla,130,Unhealthy for Sensitive Groups,1,Good,13,Good,4,Good,130,Unhealthy for Sensitive Groups,10.9833,-74.8019
Democratic Republic of the Congo,Basoko,84,Moderate,2,Good,9,Good,0,Good,84,Moderate,1.2333,23.6
United Kingdom of Great Britain and Northern Ireland,Bath,47,Good,0,Good,32,Good,1,Good,47,Good,51.38,-2.36
United Kingdom of Great Britain and Northern Ireland,Bath,47,Good,0,Good,32,Good,1,Good,47,Good,42.3219,-77.3083
United Kingdom of Great Britain and Northern Ireland,Bath,47,Good,0,Good,32,Good,1,Good,47,Good,43.9346,-69.8346
Canada,Bathurst,35,Good,1,Good,29,Good,0,Good,35,Good,-33.42,149.5778
Canada,Bathurst,35,Good,1,Good,29,Good,0,Good,35,Good,47.62,-65.65
Portugal,Belas,45,Good,0,Good,30,Good,2,Good,45,Good,-8.9983,13.265
Portugal,Belas,45,Good,0,Good,30,Good,2,Good,45,Good,38.7754,-9.2716
United States of America,Cloverleaf,53,Moderate,1,Good,13,Good,11,Good,53,Moderate,29.7882,-95.1724
United States of America,Clute,40,Good,1,Good,24,Good,4,Good,40,Good,29.0256,-95.3975
Brazil,Cocal,35,Good,1,Good,6,Good,2,Good,35,Good,-3.4708,-41.555
Italy,Codroipo,27,Good,1,Good,27,Good,2,Good,20,Good,45.9625,12.9792
Netherlands,Coevorden,31,Good,1,Good,31,Good,3,Good,28,Good,52.6667,6.75
Belgium,Colfontaine,35,Good,1,Good,27,Good,2,Good,35,Good,50.4057,3.8514
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,37.9722,-122.0016
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,35.3933,-80.6369
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,43.2305,-71.5595
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,38.5117,-90.3574
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,42.462,-71.3639
United States of America,Concord,43,Good,1,Good,43,Good,1,Good,24,Good,39.8741,-75.5135
Argentina,Concordia,19,Good,0,Good,17,Good,0,Good,19,Good,-31.4,-58.0333
Argentina,Concordia,19,Good,0,Good,17,Good,0,Good,19,Good,6.049,-75.909
Argentina,Concordia,19,Good,0,Good,17,Good,0,Good,19,Good,10.2667,-74.8333
Canada,Cornwall,36,Good,1,Good,36,Good,0,Good,25,Good,45.0275,-74.74
Canada,Cornwall,36,Good,1,Good,36,Good,0,Good,25,Good,41.4195,-74.054
United States of America,Costa Mesa,56,Moderate,2,Good,21,Good,18,Good,56,Moderate,33.6667,-117.9135
Germany,Cremlingen,38,Good,1,Good,38,Good,1,Good,22,Good,52.2489,10.6542
Costa Rica,Curridabat,59,Moderate,1,Good,9,Good,8,Good,59,Moderate,9.916,-84.0348
India,Dabra,172,Unhealthy,1,Good,45,Good,0,Good,172,Unhealthy,25.8857,78.3322
United States of America,Beavercreek,45,Good,1,Good,33,Good,7,Good,45,Good,39.731,-84.0624
Netherlands,Beesel,34,Good,1,Good,33,Good,2,Good,34,Good,51.2833,6.0333
United States of America,Belvedere Park,100,Unhealthy for Sensitive Groups,3,Good,1,Good,29,Good,100,Unhealthy for Sensitive Groups,33.7489,-84.2599
Switzerland,Bern,30,Good,0,Good,30,Good,0,Good,28,Good,46.9481,7.4475
Germany,Besigheim,31,Good,0,Good,31,Good,1,Good,26,Good,48.9983,9.1417
France,Bezons,50,Good,1,Good,20,Good,5,Good,50,Good,48.9261,2.2178
India,Bikramganj,316,Hazardous,1,Good,67,Moderate,1,Good,271,Very Unhealthy,25.2107,84.2551
Italy,Giulianova,68,Moderate,1,Good,50,Good,0,Good,68,Moderate,42.75,13.95
United States of America,Glen Rock,52,Moderate,1,Good,45,Good,2,Good,52,Moderate,40.9601,-74.125
United States of America,Glendale,52,Moderate,1,Good,26,Good,1,Good,52,Moderate,33.5791,-112.2311
United States of America,Glendale,52,Moderate,1,Good,26,Good,1,Good,52,Moderate,34.1819,-118.2468
United States of America,Glendale,52,Moderate,1,Good,26,Good,1,Good,52,Moderate,43.1287,-87.9277
,Gold Coast,28,Good,0,Good,28,Good,3,Good,21,Good,-28.0167,153.4
United States of America,Golden,32,Good,1,Good,32,Good,3,Good,32,Good,39.7406,-105.2118
India,Gomoh,158,Unhealthy,4,Good,41,Good,7,Good,158,Unhealthy,23.8735,86.1516
United States of America,Grand Forks,45,Good,1,Good,31,Good,0,Good,45,Good,47.9214,-97.0884
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,34.8354,-82.3646
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,35.5943,-77.376
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,5.0167,-9.0333
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,33.385,-91.0514
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,33.1116,-96.1099
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,40.1043,-84.6209
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,40.9986,-73.8189
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,43.1797,-85.2534
United States of America,Greenville,58,Moderate,1,Good,49,Good,1,Good,58,Moderate,41.882,-71.5549
China,Guangzhou,184,Unhealthy,7,Good,0,Good,30,Good,184,Unhealthy,23.13,113.26
China,Haikou,158,Unhealthy,6,Good,9,Good,18,Good,158,Unhealthy,20.02,110.32
United Kingdom of Great Britain and Northern Ireland,Halesowen,34,Good,1,Good,31,Good,1,Good,34,Good,52.4502,-2.0509
,Hambantota,53,Moderate,1,Good,17,Good,2,Good,53,Moderate,6.1244,81.1225
Germany,Hanau,59,Moderate,1,Good,59,Moderate,0,Good,59,Moderate,50.1328,8.9169
China,Harbin,164,Unhealthy,5,Good,41,Good,17,Good,164,Unhealthy,45.75,126.6333
Netherlands,Hardenberg,37,Good,0,Good,37,Good,0,Good,27,Good,52.5667,6.6167
France,Hazebrouck,36,Good,1,Good,36,Good,0,Good,35,Good,50.725,2.5392
Germany,Hettstedt,50,Good,1,Good,45,Good,0,Good,50,Good,51.6333,11.5
Hungary,Heves,56,Moderate,1,Good,50,Good,0,Good,56,Moderate,47.6,20.2833
Japan,Hidaka,88,Moderate,2,Good,11,Good,22,Good,88,Moderate,35.9078,139.3391
Japan,Hidaka,88,Moderate,2,Good,11,Good,22,Good,88,Moderate,42.4803,142.0743
United States of America,Hillsborough,50,Good,1,Good,34,Good,2,Good,50,Good,40.4985,-74.674
United States of America,Hillsborough,50,Good,1,Good,34,Good,2,Good,50,Good,40.5069,-74.6523
United States of America,Hillsborough,50,Good,1,Good,34,Good,2,Good,50,Good,37.5572,-122.3586
United States of America,Hillsborough,50,Good,1,Good,34,Good,2,Good,50,Good,36.0679,-79.0991
Uganda,Hima,78,Moderate,1,Good,19,Good,0,Good,78,Moderate,0.2906,30.1775
Ethiopia,Himora,82,Moderate,1,Good,28,Good,0,Good,82,Moderate,14.2861,36.6097
Japan,Hitoyoshi,52,Moderate,1,Good,22,Good,8,Good,52,Moderate,32.2167,130.75
United States of America,Holliston,47,Good,1,Good,42,Good,1,Good,47,Good,42.1977,-71.445
Brazil,Horizontina,20,Good,0,Good,20,Good,0,Good,15,Good,-27.6258,-54.3078
India,Hospet,39,Good,1,Good,19,Good,2,Good,39,Good,15.2689,76.3909
China,Huilong,190,Unhealthy,11,Good,6,Good,47,Good,190,Unhealthy,31.8131,121.6574
United States of America,Hyattsville,45,Good,1,Good,43,Good,3,Good,45,Good,38.9613,-76.9548
Romania,Ianca,48,Good,1,Good,48,Good,0,Good,48,Good,45.135,27.4747
Philippines,Iba,111,Unhealthy for Sensitive Groups,1,Good,24,Good,2,Good,111,Unhealthy for Sensitive Groups,15.3333,119.9833
Spain,Ibi,37,Good,1,Good,37,Good,0,Good,20,Good,38.6272,-0.5753
Japan,Iiyama,95,Moderate,3,Good,15,Good,13,Good,95,Moderate,36.8516,138.3655
Denmark,Ikast,42,Good,1,Good,42,Good,0,Good,13,Good,56.1333,9.15
Chile,Illapel,23,Good,1,Good,17,Good,1,Good,23,Good,-31.6333,-71.1667
Brazil,Imperatriz,30,Good,0,Good,13,Good,0,Good,30,Good,-5.5333,-47.4833
United States of America,Indian Trail,48,Good,1,Good,48,Good,1,Good,17,Good,35.0699,-80.6452
Russian Federation,Ishimbay,37,Good,1,Good,37,Good,0,Good,21,Good,53.45,56.0333
,Isla Mujeres,29,Good,0,Good,29,Good,0,Good,12,Good,21.2084,-86.7115
Pakistan,Islamabad,178,Unhealthy,5,Good,42,Good,11,Good,178,Unhealthy,33.6931,73.0639
Brazil,Itapevi,131,Unhealthy for Sensitive Groups,3,Good,24,Good,7,Good,131,Unhealthy for Sensitive Groups,-23.5489,-46.9342
Mexico,Ixmiquilpan,50,Good,1,Good,31,Good,0,Good,50,Good,20.4861,-99.2589
Japan,Iyo,47,Good,1,Good,37,Good,4,Good,47,Good,33.75,132.7
India,Jagdispur,167,Unhealthy,4,Good,71,Moderate,5,Good,167,Unhealthy,22.65,88.29
Brazil,Jaru,40,Good,1,Good,6,Good,0,Good,40,Good,-10.4389,-62.4664
Mexico,Jerez,130,Unhealthy for Sensitive Groups,3,Good,27,Good,3,Good,130,Unhealthy for Sensitive Groups,14.1,-89.75
Ecuador,Jipijapa,53,Moderate,1,Good,23,Good,0,Good,53,Moderate,-1.3486,-80.5786
India,Junnar,161,Unhealthy,4,Good,26,Good,7,Good,161,Unhealthy,19.2,73.88
Japan,Kaita,55,Moderate,1,Good,47,Good,3,Good,55,Moderate,34.3722,132.536
Malaysia,Kangar,105,Unhealthy for Sensitive Groups,2,Good,13,Good,8,Good,105,Unhealthy for Sensitive Groups,6.4333,100.2
Armenia,Kapan,92,Moderate,1,Good,37,Good,0,Good,92,Moderate,39.2011,46.415
Russian Federation,Karabulak,41,Good,1,Good,41,Good,1,Good,35,Good,43.3167,44.9167
Pakistan,Karachi,151,Unhealthy,2,Good,18,Good,4,Good,151,Unhealthy,24.86,67.01
Philippines,Kawit,74,Moderate,1,Good,28,Good,4,Good,74,Moderate,14.4333,120.9
Nigeria,Keffi,71,Moderate,2,Good,35,Good,0,Good,71,Moderate,8.8464,7.8733
United States of America,Kenner,39,Good,1,Good,28,Good,1,Good,39,Good,30.0109,-90.2549
Russian Federation,Khabarovsk,66,Moderate,2,Good,30,Good,7,Good,66,Moderate,48.4833,135.0667
Pakistan,Khanpur,180,Unhealthy,2,Good,22,Good,9,Good,180,Unhealthy,28.6453,70.6567
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,29.4632,-98.5238
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,14.4656,121.0311
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,-25.3797,-57.6097
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,9.9781,-84.1879
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,-33.5933,-71.6217
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,15.3078,120.8533
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,14.9486,120.0864
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,13.9,121.3
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,3.9167,-75.5
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,10.0,-74.6667
Costa Rica,San Antonio,46,Good,1,Good,26,Good,0,Good,46,Good,12.414,124.279
Italy,San Giuliano Milanese,86,Moderate,1,Good,65,Moderate,0,Good,86,Moderate,45.4,9.2833
Italy,San Giuseppe Vesuviano,73,Moderate,1,Good,73,Moderate,0,Good,56,Moderate,40.8333,14.5
Philippines,San Jacinto,89,Moderate,1,Good,27,Good,6,Good,89,Moderate,33.797,-116.9916
Philippines,San Jacinto,89,Moderate,1,Good,27,Good,6,Good,89,Moderate,16.0725,120.4411
Philippines,San Jacinto,89,Moderate,1,Good,27,Good,6,Good,89,Moderate,12.5683,123.7336
Philippines,San Jacinto,89,Moderate,1,Good,27,Good,6,Good,89,Moderate,9.8311,-75.1219
Philippines,San Jacinto,89,Moderate,1,Good,27,Good,6,Good,89,Moderate,14.6667,-89.5
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,13.4814,-88.1775
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,15.1458,120.9783
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,-34.5333,-58.7167
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,14.6,121.0
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,8.9322,126.0403
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,10.7833,122.4667
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,10.0,124.3167
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,7.65,123.2678
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,11.2942,124.83
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,11.492,119.871
Philippines,San Miguel,153,Unhealthy,3,Good,19,Good,9,Good,153,Unhealthy,13.6411,124.3008
Bulgaria,Sandanski,55,Moderate,1,Good,45,Good,0,Good,55,Moderate,41.5681,23.2823
United States of America,Sandy Springs,69,Moderate,1,Good,69,Moderate,3,Good,29,Good,33.9366,-84.3703
Guatemala,Santa Catarina Pinula,57,Moderate,1,Good,24,Good,0,Good,57,Moderate,14.5644,-90.488
,Santa Flavia,61,Moderate,1,Good,47,Good,0,Good,61,Moderate,38.0833,13.5333
United States of America,Santa Monica,116,Unhealthy for Sensitive Groups,3,Good,14,Good,25,Good,116,Unhealthy for Sensitive Groups,34.0235,-118.481
United States of America,Santa Monica,116,Unhealthy for Sensitive Groups,3,Good,14,Good,25,Good,116,Unhealthy for Sensitive Groups,10.02,126.038
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,14.3167,121.1167
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,38.4458,-122.7067
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,-36.6167,-64.2833
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,15.4239,120.9389
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,-27.8708,-54.4808
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,-3.4522,-79.9617
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,10.4456,-75.3686
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,-26.8667,-56.85
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,-33.25,-68.15
Venezuela (Bolivarian Republic of),Santa Teresa,53,Moderate,1,Good,28,Good,1,Good,53,Moderate,-19.9358,-40.6
Venezuela (Bolivarian Republic of),Santa Teresa,53,Moderate,1,Good,28,Good,1,Good,53,Moderate,11.8039,-86.1639
Venezuela (Bolivarian Republic of),Santa Teresa,53,Moderate,1,Good,28,Good,1,Good,53,Moderate,-25.0519,-53.6328
Brazil,Sapiranga,47,Good,1,Good,17,Good,1,Good,47,Good,-29.6378,-51.0069
United States of America,Coconut Creek,81,Moderate,2,Good,18,Good,12,Good,81,Moderate,26.2803,-80.1842
El Salvador,Cojutepeque,123,Unhealthy for Sensitive Groups,4,Good,1,Good,16,Good,123,Unhealthy for Sensitive Groups,13.7167,-88.9333
Italy,Colleferro,72,Moderate,1,Good,37,Good,3,Good,72,Moderate,41.7333,13.0167
United States of America,Conroe,81,Moderate,2,Good,12,Good,10,Good,81,Moderate,30.3238,-95.4824
Italy,Cordenons,67,Moderate,1,Good,39,Good,2,Good,67,Moderate,45.9833,12.7
Brazil,Coremas,27,Good,0,Good,10,Good,1,Good,27,Good,-7.0139,-37.9458
Nicaragua,Corinto,69,Moderate,1,Good,14,Good,3,Good,69,Moderate,3.1739,-76.2594
Nicaragua,Corinto,69,Moderate,1,Good,14,Good,3,Good,69,Moderate,-18.3808,-44.4558
Nicaragua,Corinto,69,Moderate,1,Good,14,Good,3,Good,69,Moderate,12.4819,-87.1742
Nicaragua,Corinto,69,Moderate,1,Good,14,Good,3,Good,69,Moderate,13.8167,-87.9667
Canada,Courtenay,47,Good,1,Good,36,Good,0,Good,47,Good,49.6878,-124.9944
Belgium,Couvin,62,Moderate,1,Good,37,Good,3,Good,62,Moderate,50.05,4.4833
Canada,Cowansville,63,Moderate,1,Good,28,Good,3,Good,63,Moderate,45.2,-72.75
United States of America,Creve Coeur,60,Moderate,2,Good,24,Good,13,Good,60,Moderate,38.662,-90.443
,Crotone,44,Good,1,Good,44,Good,0,Good,44,Good,39.0833,17.1167
United States of America,Chapel Hill,60,Moderate,2,Good,34,Good,7,Good,60,Moderate,35.9271,-79.0391
France,Chartres,38,Good,1,Good,29,Good,2,Good,38,Good,48.456,1.484
India,Chengam,34,Good,1,Good,29,Good,0,Good,34,Good,12.3112,78.7925
France,Cherbourg,49,Good,1,Good,13,Good,10,Good,49,Good,49.6333,-1.6
India,Chhapra,149,Unhealthy for Sensitive Groups,3,Good,99,Moderate,2,Good,149,Unhealthy for Sensitive Groups,26.4005,85.3721
Guatemala,Chichicastenango,61,Moderate,2,Good,7,Good,5,Good,61,Moderate,14.9442,-91.1105
India,Chicholi,160,Unhealthy,2,Good,87,Moderate,0,Good,160,Unhealthy,22.01,77.66
Russian Federation,Chita,39,Good,1,Good,39,Good,0,Good,17,Good,52.0333,113.5
Russian Federation,Chita,39,Good,1,Good,39,Good,0,Good,17,Good,35.0,136.8667
Russian Federation,Chita,39,Good,1,Good,39,Good,0,Good,17,Good,6.1667,-72.4167
Argentina,Chivilcoy,16,Good,0,Good,16,Good,1,Good,14,Good,-34.9,-60.0167
Italy,Cingoli,45,Good,1,Good,45,Good,2,Good,45,Good,43.3667,13.2167
United States of America,Clearfield,56,Moderate,1,Good,6,Good,13,Good,56,Moderate,41.103,-112.0238
Netherlands,Ommen,32,Good,0,Good,32,Good,1,Good,28,Good,52.5167,6.4167
Philippines,Oroquieta,93,Moderate,1,Good,18,Good,0,Good,93,Moderate,8.4833,123.8
United States of America,Oskaloosa,65,Moderate,2,Good,20,Good,8,Good,65,Moderate,41.2922,-92.6404
Chile,Osorno,67,Moderate,2,Good,3,Good,10,Good,67,Moderate,-40.5725,-73.1353
Brazil,Ouro Fino,22,Good,0,Good,22,Good,0,Good,11,Good,-22.2828,-46.3689
United States of America,Owings Mills,53,Moderate,1,Good,32,Good,5,Good,53,Moderate,39.4115,-76.7913
Brazil,Pacatuba,31,Good,0,Good,20,Good,1,Good,31,Good,-3.9839,-38.62
Brazil,Pacatuba,31,Good,0,Good,20,Good,1,Good,31,Good,-10.4528,-36.6508
Mexico,Pachuca,142,Unhealthy for Sensitive Groups,2,Good,14,Good,6,Good,142,Unhealthy for Sensitive Groups,20.1,-98.75
Chile,Paine,194,Unhealthy,12,Good,0,Good,19,Good,194,Unhealthy,-33.8167,-70.75
United States of America,Palatine,80,Moderate,3,Good,7,Good,25,Good,80,Moderate,42.118,-88.043
United States of America,Panama City,54,Moderate,1,Good,21,Good,4,Good,54,Moderate,8.9833,-79.5167
United States of America,Panama City,54,Moderate,1,Good,21,Good,4,Good,54,Moderate,30.1995,-85.6003
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,26.1006,-80.4054
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,53.413,-2.798
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,44.8906,-89.5487
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,42.3589,-71.3001
United States of America,Weston,50,Good,1,Good,36,Good,3,Good,50,Good,41.2284,-73.3726
United States of America,Winter Park,52,Moderate,1,Good,21,Good,12,Good,52,Moderate,28.5989,-81.3442
Switzerland,Winterthur,43,Good,1,Good,25,Good,2,Good,43,Good,47.4989,8.7286
Poland,Wolsztyn,31,Good,1,Good,27,Good,1,Good,31,Good,52.1167,16.1167
United States of America,Wyckoff,59,Moderate,1,Good,26,Good,10,Good,59,Moderate,40.9989,-74.1676
Mexico,Xalatlaco,152,Unhealthy,3,Good,6,Good,17,Good,152,Unhealthy,19.1811,-99.4164
China,Xinyu,107,Unhealthy for Sensitive Groups,4,Good,89,Moderate,3,Good,107,Unhealthy for Sensitive Groups,27.795,114.9242
Mexico,Xoxocotla,72,Moderate,2,Good,8,Good,9,Good,72,Moderate,18.685,-99.2439
Russian Federation,Yalutorovsk,32,Good,1,Good,32,Good,0,Good,21,Good,56.65,66.2833
Russian Federation,Yaransk,33,Good,1,Good,32,Good,1,Good,33,Good,57.3167,47.9
Russian Federation,Yelizovo,32,Good,1,Good,32,Good,1,Good,11,Good,53.1833,158.3833
China,Yushan,163,Unhealthy,5,Good,163,Unhealthy,14,Good,157,Unhealthy,31.3867,120.9766
Russian Federation,Yuzha,48,Good,1,Good,29,Good,2,Good,48,Good,56.5833,42.0333
El Salvador,Zacatecoluca,78,Moderate,2,Good,10,Good,13,Good,78,Moderate,13.5,-88.8667
Poland,Zakopane,52,Moderate,0,Good,36,Good,0,Good,52,Moderate,49.3,19.95
Hungary,Zalaegerszeg,79,Moderate,1,Good,39,Good,1,Good,79,Moderate,46.8392,16.8511
China,Zaozhuang,160,Unhealthy,3,Good,160,Unhealthy,3,Good,87,Moderate,34.8667,117.55
Spain,Zarautz,42,Good,0,Good,39,Good,0,Good,42,Good,43.2833,-2.1667
Russian Federation,Zarinsk,44,Good,1,Good,44,Good,0,Good,33,Good,53.7089,84.9672
Belgium,Zedelgem,33,Good,0,Good,31,Good,1,Good,33,Good,51.1431,3.1361
Georgia,Zugdidi,50,Good,1,Good,34,Good,0,Good,50,Good,42.5083,41.8667
Belgium,Zulte,36,Good,0,Good,29,Good,2,Good,36,Good,50.9167,3.4333
China,Wenzhou,145,Unhealthy for Sensitive Groups,2,Good,145,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,27.9991,120.6561
Germany,Wesseling,30,Good,0,Good,25,Good,2,Good,30,Good,50.8167,6.9667
United Kingdom of Great Britain and Northern Ireland,Widnes,32,Good,1,Good,21,Good,6,Good,32,Good,53.363,-2.728
United States of America,Wilkinsburg,51,Moderate,1,Good,39,Good,3,Good,51,Moderate,40.4442,-79.8733
United States of America,Willmar,46,Good,1,Good,33,Good,3,Good,46,Good,45.1216,-95.0569
France,Wittenheim,42,Good,1,Good,26,Good,2,Good,42,Good,47.8075,7.3369
Germany,Wunstorf,29,Good,0,Good,29,Good,1,Good,29,Good,52.4275,9.4294
China,Xingtai,188,Unhealthy,5,Good,188,Unhealthy,5,Good,162,Unhealthy,37.0659,114.4753
,Vieste,66,Moderate,1,Good,59,Moderate,0,Good,66,Moderate,41.8833,16.1667
Netherlands,Vlissingen,33,Good,0,Good,32,Good,1,Good,33,Good,51.45,3.5667
Romania,Voluntari,63,Moderate,2,Good,41,Good,5,Good,63,Moderate,44.4925,26.1914
Serbia,Vranje,55,Moderate,1,Good,40,Good,0,Good,55,Moderate,42.5542,21.8972
Russian Federation,Vytegra,29,Good,1,Good,29,Good,0,Good,2,Good,61.0,36.45
Japan,Wakuya,43,Good,1,Good,43,Good,0,Good,25,Good,38.5397,141.1282
Germany,Waldkraiburg,49,Good,1,Good,30,Good,3,Good,49,Good,48.2167,12.4
United States of America,Walker Mill,52,Moderate,1,Good,32,Good,5,Good,52,Moderate,38.8758,-76.8854
Japan,Warabi,65,Moderate,1,Good,65,Moderate,3,Good,36,Good,35.8256,139.6797
Papua New Guinea,Wau,17,Good,0,Good,17,Good,0,Good,7,Good,7.7,28.0
Papua New Guinea,Wau,17,Good,0,Good,17,Good,0,Good,7,Good,-7.3389,146.7167
Italy,San Pancrazio Salentino,56,Moderate,1,Good,56,Moderate,2,Good,50,Good,40.4167,17.8333
Honduras,San Pedro Sula,79,Moderate,1,Good,9,Good,2,Good,79,Moderate,15.5,-88.0333
Italy,San Salvo,46,Good,2,Good,41,Good,5,Good,46,Good,42.0455,14.7315
Brazil,Santa Isabel,161,Unhealthy,6,Good,2,Good,16,Good,161,Unhealthy,-23.3158,-46.2208
Spain,Santander,44,Good,0,Good,44,Good,0,Good,25,Good,43.4628,-3.805
