,Name,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
433,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,8.11,434,1050,"Dec 30, 2019","['J.C.Staff', '            Egg Firm']",6,"['Comedy', 'Slice of Life', 'Supernatural']","['Gag Humor', 'School']",Shounen
434,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,8.11,435,5566,"Apr 2, 2016",['TYO Animations'],1,"['Comedy', 'Drama', 'Slice of Life']","['CGDCT', 'Iyashikei']",None
435,Tsubasa: Shunraiki,OVA,8.11,436,2408,"Mar 17, 2009 to May 15, 2009",['Production I.G'],2,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",['None'],Shounen
436,Tsukimonogatari,TV,8.11,437,482,"Dec 31, 2014",['Shaft'],4,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",['None'],None
437,Uchouten Kazoku 2,TV,8.11,438,2421,"Apr 9, 2017 to Jun 25, 2017",['P.A. Works'],12,"['Comedy', 'Drama', 'Fantasy', 'Slice of Life']",['Mythology'],None
438,Tsuki ga Kirei,TV,8.10,439,378,"Apr 7, 2017 to Jun 30, 2017",['feel.'],12,['Romance'],['School'],None
439,Zankyou no Terror,TV,8.10,440,112,"Jul 11, 2014 to Sep 26, 2014",['MAPPA'],11,"['Mystery', 'Suspense']",['Psychological'],None
440,Ansatsu Kyoushitsu,TV,8.10,441,35,"Jan 10, 2015 to Jun 20, 2015",['Lerche'],22,"['Action', 'Comedy']",['School'],Shounen
441,Boku no Hero Academia 3rd Season,TV,8.10,442,25,"Apr 7, 2018 to Sep 29, 2018",['Bones'],25,['Action'],"['School', 'Super Power']",Shounen
442,Diamond no Ace,TV,8.10,443,895,"Oct 6, 2013 to Mar 29, 2015","['Production I.G', '            Madhouse']",75,['Sports'],"['School', 'Team Sports']",Shounen
443,Douluo Dalu: Haishen Zhi Guang,ONA,8.10,444,7365,"Feb 20, 2021 to May 15, 2021",['Sparkly Key Animation Studio'],13,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Martial Arts']",None
444,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,8.10,445,3415,"Dec 18, 1993","['Magic Bus', '            Kitty Film Mitaka Studio']",1,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",None
445,Haikyuu!! Movie 3: Sainou to Sense,Movie,8.10,446,2255,"Sep 15, 2017",['Production I.G'],1,['Sports'],"['School', 'Team Sports']",Shounen
446,Hyouka,TV,8.10,447,87,"Apr 23, 2012 to Sep 17, 2012",['Kyoto Animation'],22,"['Mystery', 'Slice of Life']",['School'],None
447,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,8.10,448,115,"Apr 5, 2014 to Sep 13, 2014",['David Production'],24,"['Action', 'Adventure', 'Drama', 'Supernatural']",['None'],Shounen
448,Kanata no Astra,TV,8.10,449,758,"Jul 3, 2019 to Sep 18, 2019",['Lerche'],12,"['Adventure', 'Mystery', 'Sci-Fi']","['Space', 'Survival']",Shounen
449,Kaze Tachinu,Movie,8.10,450,714,"Jul 20, 2013",['Studio Ghibli'],1,"['Drama', 'Romance']",['Historical'],None
450,Kuroko no Basket: Saikou no Present Desu,Special,8.10,451,1849,"Dec 24, 2015",['Production I.G'],1,"['Action', 'Sports']","['School', 'Team Sports']",Shounen
451,Akatsuki no Yona OVA,OVA,8.09,452,1499,"Sep 18, 2015 to Dec 20, 2016",['Studio Pierrot'],3,"['Action', 'Comedy', 'Fantasy']",['None'],Shoujo
452,Gin no Saji,TV,8.09,453,734,"Jul 12, 2013 to Sep 20, 2013",['A-1 Pictures'],11,"['Comedy', 'Slice of Life']",['School'],Shounen
453,Hajime no Ippo: Boxer no Kobushi,Special,8.09,454,2753,"Mar 21, 2003",['Madhouse'],1,['Sports'],['Combat Sports'],Shounen
454,Karakai Jouzu no Takagi-san 2,TV,8.09,455,700,"Jul 7, 2019 to Sep 22, 2019",['Shin-Ei Animation'],12,"['Comedy', 'Slice of Life']","['Iyashikei', 'Romantic Subtext', 'School']",Shounen
455,Mirai Shounen Conan,TV,8.09,456,2841,"Apr 4, 1978 to Oct 31, 1978",['Nippon Animation'],26,"['Adventure', 'Drama', 'Sci-Fi']",['None'],None
456,Mobile Suit Gundam 00 Second Season,TV,8.09,457,1344,"Oct 5, 2008 to Mar 29, 2009",['Sunrise'],25,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",None
457,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,8.09,458,2208,"Feb 23, 2011 to Jul 20, 2011",['TMS Entertainment'],13,"['Action', 'Adventure', 'Supernatural']","['Martial Arts', 'Super Power']",Shounen
458,Skip Beat!,TV,8.09,459,791,"Oct 6, 2008 to Mar 30, 2009",['Hal Film Maker'],25,"['Comedy', 'Drama', 'Romance']","['Love Polygon', 'Showbiz']",Shoujo
459,World Trigger 2nd Season,TV,8.09,460,1535,"Jan 10, 2021 to Apr 4, 2021",['Toei Animation'],12,"['Action', 'Sci-Fi', 'Supernatural']",['School'],Shounen
460,Yuusha-Ou GaoGaiGar Final,OVA,8.09,461,5800,"Jan 21, 2000 to Mar 21, 2003",['Sunrise'],8,"['Adventure', 'Drama', 'Sci-Fi']",['Mecha'],Shounen
461,Stand By Me Doraemon,Movie,8.08,462,2793,"Aug 8, 2014","['Shirogumi', '            Shin-Ei Animation']",1,"['Comedy', 'Sci-Fi']",['None'],None
462,Yowamushi Pedal: Grande Road,TV,8.08,463,1452,"Oct 7, 2014 to Mar 31, 2015",['TMS Entertainment'],24,['Sports'],['None'],Shounen
463,Angel Beats!,TV,8.08,464,24,"Apr 3, 2010 to Jun 26, 2010",['P.A. Works'],13,"['Drama', 'Supernatural']",['School'],None
464,Darker than Black: Kuro no Keiyakusha,TV,8.08,465,149,"Apr 6, 2007 to Sep 28, 2007",['Bones'],25,"['Action', 'Mystery', 'Sci-Fi']",['Super Power'],None
465,Detective Conan Movie 18: The Sniper from Another Dimension,Movie,8.08,466,3074,"Apr 19, 2014",['TMS Entertainment'],1,"['Action', 'Mystery']",['Detective'],Shounen
466,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special,8.08,467,2585,"Sep 24, 2005",['Sunrise'],1,"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Mecha', 'Parody', 'Samurai']",Shounen
467,Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA,8.08,468,5078,"Nov 27, 2013",['Shaft'],2,"['Comedy', 'Slice of Life']","['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",Seinen
468,Hikaru no Go,TV,8.08,469,1443,"Oct 10, 2001 to Mar 26, 2003",['Studio Pierrot'],75,"['Comedy', 'Supernatural']",['Strategy Game'],Shounen
469,Initial D Fifth Stage,TV,8.08,470,1483,"Nov 4, 2012 to May 10, 2013",['SynergySP'],14,"['Action', 'Drama']",['Racing'],Seinen
470,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Special,8.08,471,3079,"Sep 23, 2005",['Production I.G'],1,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Psychological']",Seinen
471,Kuroko no Basket,TV,8.08,472,109,"Apr 8, 2012 to Sep 22, 2012",['Production I.G'],25,['Sports'],"['School', 'Team Sports']",Shounen
472,Kuroko no Basket Movie 4: Last Game,Movie,8.08,473,799,"Mar 18, 2017",['Production I.G'],1,['Sports'],"['School', 'Team Sports']",Shounen
473,Kuroshitsuji: Book of Circus,TV,8.08,474,509,"Jul 11, 2014 to Sep 12, 2014",['A-1 Pictures'],10,"['Action', 'Comedy', 'Mystery', 'Supernatural']","['Historical', 'Mythology']",Shounen
474,Mairimashita! Iruma-kun 2nd Season,TV,8.08,475,898,"Apr 17, 2021 to Sep 11, 2021",['Bandai Namco Pictures'],21,"['Comedy', 'Fantasy', 'Supernatural']","['Isekai', 'Mythology', 'School']",Shounen
475,Detective Conan Movie 08: Magician of the Silver Sky,Movie,8.07,476,2616,"Apr 17, 2004",['TMS Entertainment'],1,"['Adventure', 'Comedy', 'Mystery']",['Detective'],Shounen
476,Dorohedoro,TV,8.07,477,418,"Jan 13, 2020 to Mar 30, 2020",['MAPPA'],12,"['Action', 'Comedy', 'Fantasy', 'Horror']",['Gore'],Seinen
477,Durarara!!x2 Ketsu,TV,8.07,478,537,"Jan 9, 2016 to Mar 26, 2016",['Shuka'],12,"['Action', 'Mystery', 'Supernatural']",['None'],None
478,Gintama: Dai Hanseikai,Special,8.07,479,3243,"Mar 25, 2010",['Sunrise'],1,"['Action', 'Comedy']","['Parody', 'Samurai']",None
479,Girls & Panzer: Saishuushou Part 2,Movie,8.07,480,3625,"Jun 15, 2019",['Actas'],1,['None'],"['Military', 'School']",None
480,Gosick,TV,8.07,481,360,"Jan 8, 2011 to Jul 2, 2011",['Bones'],24,"['Drama', 'Mystery', 'Romance']",['Historical'],None
481,Kamisama Hajimemashita,TV,8.07,482,310,"Oct 2, 2012 to Dec 25, 2012",['TMS Entertainment'],13,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",['Mythology'],Shoujo
482,Koukyoushihen Eureka Seven,TV,8.07,483,443,"Apr 17, 2005 to Apr 2, 2006",['Bones'],50,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Mecha'],None
483,Kuroshitsuji: Book of Murder,OVA,8.07,484,888,"Jan 28, 2015 to Feb 25, 2015",['A-1 Pictures'],2,"['Action', 'Comedy', 'Mystery', 'Supernatural']","['Historical', 'Mythology']",Shounen
484,Mahoutsukai no Yome,TV,8.07,485,178,"Oct 8, 2017 to Mar 25, 2018",['Wit Studio'],24,"['Fantasy', 'Slice of Life']",['None'],Shounen
485,Omoide no Marnie,Movie,8.07,486,783,"Jul 19, 2014",['Studio Ghibli'],1,"['Drama', 'Mystery']",['Psychological'],None
486,Shijou Saikyou no Deshi Kenichi,TV,8.07,487,704,"Oct 7, 2006 to Sep 30, 2007",['TMS Entertainment'],50,"['Action', 'Comedy']","['Martial Arts', 'School']",Shounen
487,Serial Experiments Lain,TV,8.06,488,258,"Jul 6, 1998 to Sep 28, 1998",['Triangle Staff'],13,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",['Psychological'],None
488,xxxHOLiC: Shunmuki,OVA,8.06,489,2272,"Feb 17, 2009 to Jun 23, 2009",['Production I.G'],2,"['Comedy', 'Drama', 'Mystery', 'Supernatural']",['Psychological'],Seinen
489,City Hunter 2,TV,8.06,490,3930,"Apr 2, 1988 to Jul 14, 1989",['Sunrise'],63,"['Action', 'Comedy', 'Mystery']",['None'],Shounen
490,Dennou Coil,TV,8.06,491,1372,"May 12, 2007 to Dec 1, 2007",['Madhouse'],26,"['Adventure', 'Comedy', 'Drama', 'Mystery', 'Sci-Fi']",['None'],None
491,Fate/stay night: Unlimited Blade Works Prologue,Special,8.06,492,668,"Oct 5, 2014",['ufotable'],1,"['Action', 'Fantasy', 'Supernatural']",['None'],None
492,Ginga Eiyuu Densetsu Gaiden (1999),OVA,8.06,493,4371,"Dec 24, 1999 to Jul 21, 2000","['Artland', '            Magic Bus']",28,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",None
493,Glass no Kamen (2005),TV,8.06,494,3174,"Apr 6, 2005 to Mar 29, 2006",['Tokyo Movie Shinsha'],51,['Drama'],"['Performing Arts', 'Showbiz']",Shoujo
494,"Komi-san wa, Comyushou desu.",TV,8.06,495,270,"Oct 7, 2021 to Dec 23, 2021",['OLM'],12,"['Comedy', 'Slice of Life']","['Romantic Subtext', 'School']",Shounen
495,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie,8.05,496,5414,"Mar 5, 2011",['Shin-Ei Animation'],1,"['Adventure', 'Comedy', 'Fantasy']",['Mecha'],None
496,Douluo Dalu: Hao Tian Yang Wei,ONA,8.05,497,6278,"Nov 23, 2019 to Feb 15, 2020",['Sparkly Key Animation Studio'],13,"['Action', 'Adventure', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",None
497,Hololive Alternative,ONA,8.05,498,6423,"May 21, 2021",['Hololive Production'],1,['None'],['Music'],None
498,Kill la Kill,TV,8.05,499,48,"Oct 4, 2013 to Mar 28, 2014",['Trigger'],24,"['Action', 'Comedy', 'Ecchi']","['School', 'Super Power']",None
499,Kodomo no Omocha (TV),TV,8.05,500,2400,"Apr 5, 1996 to Mar 27, 1998",['Gallop'],102,"['Comedy', 'Drama', 'Romance']","['Love Polygon', 'Showbiz']",Shoujo
500,Kyou kara Ore wa!!,OVA,8.05,501,3518,"Apr 1, 1993 to Dec 21, 1997",['Studio Pierrot'],10,['Comedy'],['Delinquents'],Shounen
501,Summer Wars,Movie,8.05,502,371,"Aug 1, 2009",['Madhouse'],1,"['Comedy', 'Sci-Fi']",['None'],None
502,Mobile Suit Gundam: Iron-Blooded Orphans,TV,8.04,503,962,"Oct 4, 2015 to Mar 27, 2016",['Sunrise'],25,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Space']",None
503,Paprika,Movie,8.04,504,393,"Nov 25, 2006",['Madhouse'],1,"['Avant Garde', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Psychological']",None
504,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,8.04,505,2577,"Nov 9, 2002 to Jul 25, 2003",['Toei Animation'],13,"['Adventure', 'Sci-Fi']",['None'],Shounen
505,Saiunkoku Monogatari 2nd Season,TV,8.04,506,3059,"Apr 7, 2007 to Mar 8, 2008",['Madhouse'],39,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']","['Historical', 'Reverse Harem']",None
506,Shokugeki no Souma: San no Sara,TV,8.04,507,150,"Oct 4, 2017 to Dec 20, 2017",['J.C.Staff'],12,"['Gourmet', 'Ecchi']",['School'],Shounen
507,SK∞,TV,8.04,508,414,"Jan 10, 2021 to Apr 4, 2021",['Bones'],12,['Sports'],['None'],None
508,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,8.04,509,910,"Oct 27, 2016",['feel.'],1,"['Comedy', 'Romance']","['Love Polygon', 'School']",None
509,BanG Dream! 3rd Season,TV,8.04,510,3476,"Jan 23, 2020 to Apr 23, 2020",['SANZIGEN'],13,['None'],['Music'],None
510,Detective Conan Movie 10: Requiem of the Detectives,Movie,8.04,511,2635,"Apr 15, 2006",['TMS Entertainment'],1,"['Adventure', 'Comedy', 'Mystery']",['Detective'],Shounen
511,Eve no Jikan,ONA,8.04,512,1123,"Aug 1, 2008 to Sep 18, 2009",['Studio Rikka'],6,"['Sci-Fi', 'Slice of Life']",['None'],None
512,Full Metal Panic? Fumoffu,TV,8.04,513,701,"Aug 26, 2003 to Nov 18, 2003",['Kyoto Animation'],12,"['Action', 'Comedy']","['Gag Humor', 'School']",None
513,Juuni Kokuki,TV,8.04,514,1401,"Apr 9, 2002 to Aug 30, 2003",['Studio Pierrot'],45,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",['Isekai'],None
514,Kara no Kyoukai 3: Tsuukaku Zanryuu,Movie,8.04,515,937,"Feb 9, 2008",['ufotable'],1,"['Action', 'Drama', 'Mystery', 'Supernatural', 'Suspense']",['None'],None
515,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,8.04,516,592,"Jul 24, 2017",['Studio Deen'],1,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",None
516,Lovely★Complex,TV,8.04,517,339,"Apr 7, 2007 to Sep 29, 2007",['Toei Animation'],24,"['Comedy', 'Romance']",['None'],Shoujo
517,Akatsuki no Yona,TV,8.03,518,195,"Oct 7, 2014 to Mar 24, 2015",['Studio Pierrot'],24,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",['None'],Shoujo
518,Baby Steps 2nd Season,TV,8.03,519,1937,"Apr 5, 2015 to Sep 20, 2015",['Studio Pierrot'],25,['Sports'],['School'],Shounen
519,Black Lagoon,TV,8.03,520,147,"Apr 9, 2006 to Jun 25, 2006",['Madhouse'],12,['Action'],"['Adult Cast', 'Organized Crime']",Seinen
520,Black Lagoon: Roberta's Blood Trail,OVA,8.03,521,768,"Jun 27, 2010 to Jun 22, 2011",['Madhouse'],5,['Action'],"['Adult Cast', 'Organized Crime']",Seinen
521,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,8.03,522,388,"Dec 20, 2019",['Bones'],1,['Action'],['Super Power'],Shounen
522,D.Gray-man,TV,8.03,523,247,"Oct 3, 2006 to Sep 30, 2008",['TMS Entertainment'],103,"['Action', 'Adventure', 'Comedy']","['Mythology', 'Super Power']",Shounen
523,Date A Live IV,TV,8.02,543,1235,"Apr 8, 2022 to ?",['GEEK TOYS'],12,"['Comedy', 'Romance', 'Sci-Fi']","['Harem', 'Mecha', 'School']",None
524,Detective Conan Movie 03: The Last Wizard of the Century,Movie,8.03,524,2406,"Apr 17, 1999",['TMS Entertainment'],1,"['Adventure', 'Comedy', 'Mystery']",['Detective'],Shounen
525,Detective Conan Movie 04: Captured in Her Eyes,Movie,8.03,525,2495,"Apr 22, 2000",['TMS Entertainment'],1,"['Adventure', 'Comedy', 'Mystery']",['Detective'],Shounen
526,FLCL,OVA,8.03,526,207,"Apr 26, 2000 to Mar 16, 2001","['Gainax', '            Production I.G']",6,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi']","['Mecha', 'Parody', 'Psychological']",None
527,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,8.03,527,5229,"Mar 4, 2022 to May 13, 2022",['Production I.G'],12,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",None
528,Ginga Nagareboshi Gin,TV,8.03,528,3843,"Apr 7, 1986 to Aug 22, 1986",['Toei Animation'],21,"['Action', 'Adventure', 'Drama']",['Anthropomorphic'],Shounen
529,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,8.03,529,2101,"Apr 12, 2022 to ?",['Ajia-Do'],10,"['Fantasy', 'Slice of Life']","['Isekai', 'Reincarnation']",None
530,Kami nomi zo Shiru Sekai: Megami-hen,TV,8.03,530,602,"Jul 9, 2013 to Sep 24, 2013",['Manglobe'],12,"['Comedy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture']",Shounen
531,Magi: The Labyrinth of Magic,TV,8.03,531,129,"Oct 7, 2012 to Mar 31, 2013",['A-1 Pictures'],25,"['Action', 'Adventure', 'Fantasy']",['None'],Shounen
532,Toaru Kagaku no Railgun S,TV,8.03,532,529,"Apr 12, 2013 to Sep 27, 2013",['J.C.Staff'],24,"['Action', 'Sci-Fi']",['Super Power'],None
533,Tsumiki no Ie,Movie,8.03,533,1872,"Jun 10, 2008",['Oh! Production'],1,"['Award Winning', 'Drama']",['None'],None
534,Zombieland Saga: Revenge,TV,8.03,534,1090,"Apr 8, 2021 to Jun 24, 2021",['MAPPA'],12,"['Comedy', 'Supernatural']","['Idols (Female)', 'Music']",None
535,Omae Umasou da na,Movie,8.02,535,4487,"Oct 16, 2010",['Ajia-Do'],1,"['Action', 'Adventure', 'Fantasy']",['Childcare'],Kids
536,Pui Pui Molcar,TV,8.02,536,5241,"Jan 5, 2021 to Mar 23, 2021",['Shin-Ei Animation'],12,['Comedy'],"['Anthropomorphic', 'Racing']",Kids
537,Slayers Next,TV,8.02,537,2269,"Apr 5, 1996 to Sep 27, 1996",['E&G Films'],26,"['Adventure', 'Comedy', 'Fantasy']",['Mythology'],None
538,Tate no Yuusha no Nariagari,TV,8.02,538,74,"Jan 9, 2019 to Jun 26, 2019",['Kinema Citrus'],25,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Isekai'],None
539,Tokyo Magnitude 8.0,TV,8.02,539,711,"Jul 10, 2009 to Sep 18, 2009","['Bones', '            Kinema Citrus']",11,['Drama'],['None'],None
540,Uma Musume: Pretty Derby (TV) Season 2,TV,8.02,540,3146,"Jan 5, 2021 to Mar 30, 2021",['Studio Kai'],13,['Sports'],['Anthropomorphic'],None
541,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,8.02,541,82,"Apr 5, 2013 to Jun 28, 2013","[""Brain's Base""]",13,"['Comedy', 'Drama', 'Romance', 'Slice of Life']","['Love Polygon', 'School']",None
542,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,8.02,542,4926,"Jul 8, 2017",['Studio Gokumi'],1,"['Drama', 'Fantasy', 'Slice of Life']",['Mahou Shoujo'],None
543,Detective Conan Movie 15: Quarter of Silence,Movie,8.02,544,2865,"Apr 16, 2011",['TMS Entertainment'],1,"['Adventure', 'Comedy', 'Mystery']",['Detective'],Shounen
544,ef: A Tale of Melodies.,TV,8.02,545,1219,"Oct 7, 2008 to Dec 23, 2008",['Shaft'],12,"['Drama', 'Mystery', 'Romance', 'Supernatural']",['None'],None
545,Evangelion: 1.0 You Are (Not) Alone,Movie,8.02,546,368,"Sep 1, 2007",['Khara'],1,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",None
546,Golden Boy,OVA,8.02,547,597,"Oct 27, 1995 to Jun 28, 1996",['APPP'],6,"['Adventure', 'Comedy', 'Ecchi']","['Adult Cast', 'Gag Humor']",None
547,Hachimitsu to Clover,TV,8.02,548,798,"Apr 15, 2005 to Sep 27, 2005",['J.C.Staff'],24,"['Comedy', 'Drama', 'Romance', 'Slice of Life']","['Love Polygon', 'Visual Arts']",Josei
548,Kaichou wa Maid-sama!,TV,8.02,549,98,"Apr 2, 2010 to Sep 24, 2010",['J.C.Staff'],26,"['Comedy', 'Romance']",['School'],Shoujo
549,Kamisama Hajimemashita OVA,OVA,8.02,550,1567,"Aug 20, 2013",['TMS Entertainment'],2,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",['Mythology'],Shoujo
550,Kara no Kyoukai Movie: Mirai Fukuin,Movie,8.02,551,1689,"Sep 28, 2013",['ufotable'],1,"['Drama', 'Mystery', 'Supernatural']",['None'],Seinen
551,Aria the OVA: Arietta,OVA,8.01,552,3208,"Sep 21, 2007",['Hal Film Maker'],1,"['Fantasy', 'Sci-Fi', 'Slice of Life']",['Iyashikei'],Shounen
552,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Movie,8.01,553,7035,"Jun 25, 2021",['SANZIGEN'],1,['None'],['Music'],None
553,Clannad,TV,8.01,554,77,"Oct 5, 2007 to Mar 28, 2008",['Kyoto Animation'],23,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",['School'],None
554,Fullmetal Alchemist: Brotherhood Specials,Special,8.01,555,1301,"Aug 26, 2009 to Aug 25, 2010",['Bones'],4,"['Drama', 'Fantasy']",['Military'],Shounen
555,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,8.01,556,858,"Oct 3, 2019 to Dec 26, 2019",['Ajia-Do'],14,"['Fantasy', 'Slice of Life']","['Isekai', 'Reincarnation']",None
556,Love Live! Superstar!!,TV,8.01,557,2605,"Jul 11, 2021 to Oct 17, 2021",['Sunrise'],12,['Slice of Life'],"['Idols (Female)', 'Music', 'School']",None
557,Mobile Suit Gundam: The 08th MS Team,OVA,8.01,558,2124,"Jan 25, 1996 to Jul 25, 1999",['Sunrise'],12,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military']",None
558,Mushoku Tensei: Isekai Ittara Honki Dasu Special,Special,8.01,559,1921,"Mar 16, 2022",['None'],1,"['Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",None
559,Nagi no Asu kara,TV,8.01,560,320,"Oct 3, 2013 to Apr 3, 2014",['P.A. Works'],26,"['Drama', 'Fantasy', 'Romance']",['None'],None
560,Persona 3 the Movie 4: Winter of Rebirth,Movie,8.01,561,2321,"Jan 23, 2016",['A-1 Pictures'],1,"['Action', 'Fantasy', 'Supernatural']",['None'],None
561,Wolf's Rain OVA,OVA,8.01,562,2361,"Jan 23, 2004 to Feb 25, 2004",['Bones'],4,"['Adventure', 'Drama', 'Sci-Fi', 'Supernatural']",['Psychological'],None
562,Maoujou de Oyasumi,TV,8.00,563,1146,"Oct 6, 2020 to Dec 22, 2020",['Doga Kobo'],12,"['Comedy', 'Fantasy']",['Mythology'],Shounen
563,Ookiku Furikabutte: Natsu no Taikai-hen,TV,8.00,564,2908,"Apr 2, 2010 to Jun 25, 2010",['A-1 Pictures'],13,"['Comedy', 'Sports']",['Team Sports'],Seinen
564,School Rumble Ni Gakki,TV,8.00,565,1272,"Apr 3, 2006 to Sep 25, 2006",['Studio Comet'],26,"['Comedy', 'Romance']","['Gag Humor', 'Love Polygon', 'School']",Shounen
565,Touch,TV,8.00,566,3370,"Mar 24, 1985 to Mar 22, 1987","['Gallop', '            Group TAC', '            Studio Junio']",101,"['Drama', 'Romance', 'Slice of Life', 'Sports']","['Love Polygon', 'School', 'Team Sports']",Shounen
566,Code Geass: Hangyaku no Lelouch III - Oudou,Movie,8.00,567,1999,"May 26, 2018",['Sunrise'],1,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",None
567,Doupo Cangqiong 4th Season,ONA,8.00,568,8105,"Mar 28, 2021 to Aug 29, 2021",['Motion Magic'],24,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']","['Martial Arts', 'Mythology']",None
568,Durarara!!x2 Shou,TV,8.00,569,405,"Jan 10, 2015 to Mar 28, 2015",['Shuka'],12,"['Action', 'Mystery', 'Supernatural']",['None'],None
569,Eve no Jikan (Movie),Movie,8.00,570,1512,"Mar 6, 2010",['Studio Rikka'],1,"['Sci-Fi', 'Slice of Life']",['None'],None
570,Haikyuu!! Movie 2: Shousha to Haisha,Movie,8.00,571,2096,"Sep 18, 2015",['Production I.G'],1,['Sports'],"['School', 'Team Sports']",Shounen
571,Hanada Shounen-shi,TV,8.00,572,4862,"Oct 2, 2002 to Mar 26, 2003",['Madhouse'],25,"['Comedy', 'Drama', 'Slice of Life', 'Supernatural']",['None'],Seinen
572,Hibike! Euphonium,TV,8.00,573,449,"Apr 8, 2015 to Jul 1, 2015",['Kyoto Animation'],13,['Drama'],"['Music', 'Performing Arts', 'School']",None
573,High Score Girl: Extra Stage,OVA,8.00,574,2284,"Mar 20, 2019",['J.C.Staff'],3,['Comedy'],"['Love Polygon', 'Romantic Subtext', 'School', 'Video Game']",Seinen
574,Kakushigoto (TV),TV,8.00,575,686,"Apr 2, 2020 to Jun 18, 2020",['Ajia-Do'],12,"['Comedy', 'Slice of Life']","['Childcare', 'Gag Humor', 'Otaku Culture']",Shounen
575,Kimi ni Todoke,TV,8.00,576,167,"Oct 7, 2009 to Mar 31, 2010",['Production I.G'],25,"['Drama', 'Romance', 'Slice of Life']",['School'],Shoujo
576,Kobayashi-san Chi no Maid Dragon,TV,8.00,577,104,"Jan 12, 2017 to Apr 6, 2017",['Kyoto Animation'],13,"['Comedy', 'Fantasy', 'Slice of Life']",['None'],None
577,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,Special,8.00,578,3613,"Jan 27, 2006",['Production I.G'],1,"['Action', 'Sci-Fi']","['Adult Cast', 'Mecha']",None
578,Douluo Dalu: Shan Yu Yu Lai,ONA,7.99,579,7775,"May 22, 2021 to Aug 14, 2021",['Sparkly Key Animation Studio'],13,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Martial Arts']",None
