Game ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Single Player/ Multi Player,Download Size,Viewership (Thousands),Online/Offline,In game purchase,Price,Countries,In game voice/chat
6595IP,The Hobbit,PS2,2003,Platform,Vivendi Games,0.26,0.2,0,0.07,0.54,59,17,8.6,14,Inevitable Entertainment,E,Single Player,79,14,Online,No,61,23,No
9111TU,War of the Monsters,PS2,2003,Fighting,Sony Computer Entertainment,0.26,0.2,0,0.07,0.54,80,41,8.9,68,Incognito Inc.,T,Multi Player,13562,336,Online,No,70,13,Yes
9321DM,Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive,0.26,0.2,0,0.07,0.53,75,34,9.3,49,Crystal Dynamics,M,Multi Player,27415,1829,Offline,Yes,48,27,No
3898PX,MLB SlugFest 20-04,PS2,2003,Sports,Midway Games,0.26,0.2,0,0.07,0.53,78,23,8.3,8,Midway,E,Single Player,22935,47,Online,Yes,44,17,No
8381UM,Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Shooter,Activision,0.26,0.2,0,0.07,0.53,66,21,8,23,Raster,M,Single Player,26826,53,Offline,No,67,10,No
8283MG,Freedom Fighters,PS2,2003,Shooter,Electronic Arts,0.25,0.2,0,0.07,0.52,81,26,8.4,57,Io Interactive,T,Single Player,10254,50,Online,No,61,10,No
3521XB,Madden NFL 2004,GC,2003,Sports,Electronic Arts,0.4,0.1,0,0.01,0.51,94,19,7.7,17,EA Tiburon,E,Multi Player,22663,107,Online,Yes,50,23,Yes
7655MP,NBA Live 2004,XB,2003,Sports,Electronic Arts,0.44,0.04,0,0.02,0.51,85,19,8.2,11,EA Sports,E,Single Player,19018,9,Online,No,60,18,No
2478GI,Looney Tunes: Back in Action,PS2,2003,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0,0.06,0.5,51,9,7.5,6,Warthog,E,Single Player,168,120,Online,No,67,22,No
4900BT,Midnight Club II,XB,2003,Racing,Take-Two Interactive,0.42,0.06,0,0.02,0.5,86,33,7.6,12,Rockstar San Diego,T,Multi Player,305,78,Offline,Yes,47,17,No
2264PD,SplashDown: Rides Gone Wild,PS2,2003,Racing,THQ,0.24,0.19,0,0.06,0.5,80,25,8.7,16,Rainbow Studios,E,Single Player,1369,17,Offline,No,64,19,No
2094II,Power Rangers: Dino Thunder,GBA,2003,Action,THQ,0.35,0.13,0,0.01,0.49,49,5,,,Natsume,E,Single Player,18356,215,Online,Yes,50,19,No
2724TF,The Sims,GC,2003,Simulation,Electronic Arts,0.35,0.13,0,0.01,0.49,85,16,7.7,22,Edge of Reality,T,Single Player,1930,16,Offline,Yes,44,10,No
1655DW,Spy Hunter 2,PS2,2003,Racing,Midway Games,0.24,0.19,0,0.06,0.49,57,30,6.4,8,Angel Studios,T,Single Player,716,33,Online,No,62,26,No
2426IC,Secret Weapons Over Normandy,PS2,2003,Simulation,LucasArts,0.24,0.18,0,0.06,0.48,81,26,8.2,19,Totally Games,T,Single Player,1469,14,Offline,Yes,42,20,No
5387FO,Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0,0.06,0.47,79,40,8.9,32,Incognito Inc.,T,Single Player,1128,45,Online,Yes,48,21,No
8501WU,Crash Nitro Kart,GBA,2003,Racing,Vivendi Games,0.33,0.12,0,0.01,0.46,77,6,8.3,12,Vicarious Visions,E,Multi Player,711,52,Offline,No,69,23,No
4461CP,Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,0.46,89,44,8.2,31,Pam Development,E,Multi Player,1242,101,Online,Yes,41,27,Yes
2855OX,Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45,63,23,8,45,Shiny Entertainment,T,Multi Player,8258,1144,Offline,Yes,49,14,No
5711UV,Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.45,76,30,8.7,30,Vicarious Visions,T,Single Player,22426,57,Offline,No,65,17,No
5511PW,ATV Quad Power Racing 2,XB,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,68,17,,,Climax Group,E,Multi Player,254,20,Online,Yes,48,11,No
8766XS,Spawn: Armageddon,PS2,2003,Action,Electronic Arts,0.22,0.17,0,0.06,0.44,56,33,7.4,21,Point of View,M,Single Player,21028,1830,Offline,Yes,44,20,No
4238VT,Wario World,GC,2003,Platform,Nintendo,0.34,0.09,0,0.01,0.44,71,30,7.2,44,Treasure,E,Single Player,316,45,Offline,Yes,45,29,No
1184WL,Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,0.31,0.12,0,0.01,0.44,53,6,,,Artificial Mind and Movement,E,Multi Player,6930,500,Online,Yes,44,26,Yes
2800SL,Primal,PS2,2003,Action,Sony Computer Entertainment,0.21,0.17,0,0.06,0.43,73,36,8.6,53,SCEE,M,Multi Player,26558,533,Offline,Yes,50,24,No
8553TU,NCAA Football 2004,XB,2003,Sports,Electronic Arts,0.4,0.02,0,0.02,0.43,88,13,8.8,19,EA Sports,E,Single Player,12381,58,Offline,Yes,42,12,No
8986LI,Bionicle,PS2,2003,Action,Electronic Arts,0.21,0.17,0,0.06,0.43,51,7,3.6,16,Argonaut Games,E,Single Player,19452,662,Online,Yes,40,26,No
7052LW,Mega Man Zero 2,GBA,2003,Platform,Capcom,0.18,0.07,0.17,0.01,0.43,81,17,8.6,18,Inti,E,Single Player,183,49,Online,No,62,19,No
7387UF,Hunter: The Reckoning Wayward,PS2,2003,Action,Interplay,0.21,0.16,0,0.06,0.43,68,27,8.8,16,High Voltage Software,M,Single Player,14580,492,Online,Yes,49,24,No
8093II,EverQuest Online Adventures,PS2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0,0.05,0.43,74,22,8.2,33,Sony Online Entertainment,T,Single Player,1830,24,Offline,Yes,47,30,No
4343WJ,Midway Arcade Treasures,XB,2003,Misc,Midway Games,0.33,0.08,0,0.01,0.43,74,22,,,Midway,T,Single Player,134,22,Online,No,62,15,No
5331FR,Medal of Honor: Rising Sun,GC,2003,Shooter,Electronic Arts,0.33,0.09,0,0.01,0.42,68,24,6.4,13,EA LA,T,Single Player,2363,65,Offline,No,64,26,No
3167IF,The Sims,XB,2003,Simulation,Electronic Arts,0.31,0.1,0,0.01,0.42,84,17,6.9,20,Edge of Reality,T,Single Player,694,1,Offline,Yes,44,26,No
5840JH,Dog's Life,PS2,2003,Adventure,Sony Computer Entertainment,0.21,0.16,0,0.05,0.42,64,19,3.1,157,Frontier Developments,T,Single Player,5864,12,Online,Yes,50,17,No
1718RL,All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,78,19,7.5,11,Acclaim Studios Austin,E,Single Player,21879,46,Offline,Yes,41,20,No
4652FZ,Hot Wheels World Race,PS2,2003,Racing,THQ,0.21,0.16,0,0.05,0.42,55,5,7.7,9,Climax Group,E,Single Player,1542,25,Offline,No,64,12,No
4237HG,Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,82,33,8.9,65,KCEJ,M,Single Player,572,150,Online,No,70,23,No
4643LW,NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,65,25,8.7,6,989 Sports,E,Multi Player,14074,58,Offline,Yes,44,24,No
6316ZW,Tak and the Power of Juju,GC,2003,Platform,THQ,0.31,0.08,0,0.01,0.4,71,16,8.2,9,Avalanche Software,E,Single Player,207,74,Online,No,65,23,No
8987GG,Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts,0.31,0.08,0,0.01,0.4,68,16,8.5,10,Electronic Arts,E,Single Player,29227,31,Offline,Yes,49,15,No
2056WS,I-Ninja,PS2,2003,Platform,Sony Computer Entertainment,0.19,0.15,0,0.05,0.4,73,39,8.3,22,Argonaut Games,T,Single Player,233,60,Offline,No,67,22,No
6211WR,SSX 3,XB,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.39,92,27,8.7,25,EA Canada,E,Multi Player,15580,88,Online,No,60,27,Yes
8527GY,Chessmaster,PS2,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39,79,9,7.3,13,Ubisoft Romania,E,Single Player,378,6,Online,Yes,41,10,No
3058SY,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39,53,6,8.3,9,Magic Pockets,E,Single Player,11458,136,Offline,No,66,16,No
2814RN,Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38,82,42,8.7,83,Atlus Co.,M,Single Player,1443,53,Online,No,61,10,No
6636YB,SSX 3,GC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.38,92,27,8.7,45,EA Canada,E,Single Player,29022,67,Online,No,70,25,No
6036YA,Risk: Global Domination,PS2,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38,60,9,8.8,25,Cyberlore Studios,T,Single Player,890,15,Offline,No,60,11,No
6251NP,Pokemon Channel,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38,55,21,6,22,Ambrella,E,Single Player,11462,30,Offline,Yes,45,20,No
8568BP,High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,0.18,0.14,0,0.05,0.36,83,17,8.1,12,3DO,E,Single Player,24398,16,Online,No,63,21,No
7850AN,ESPN NFL Football,XB,2003,Sports,Sega,0.27,0.08,0,0.01,0.36,91,25,8.9,45,Visual Concepts,E,Multi Player,2108,80,Online,No,68,18,Yes
7137PU,Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,72,39,8.2,33,Cattle Call,T,Single Player,1171,7,Offline,No,66,25,No
1718PR,Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,0.17,0.13,0,0.05,0.35,63,21,8.3,14,Ubisoft Montreal,T,Single Player,11213,128,Online,No,63,22,No
8087NX,WWE Crush Hour,PS2,2003,Racing,THQ,0.17,0.13,0,0.04,0.35,56,13,5.3,8,Pacific Coast Power & Light,T,Single Player,1557,110,Online,Yes,44,19,No
1383UX,Star Wars: Flight of the Falcon,GBA,2003,Action,THQ,0.25,0.09,0,0.01,0.35,39,13,5.8,11,Pocket Studios,E,Multi Player,12658,458,Online,Yes,50,13,Yes
7179RG,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0,0.04,0.35,65,28,6.6,48,Cavia Inc.,M,Multi Player,8147,87,Online,No,63,12,Yes
2912XW,Xbox Music Mixer,XB,2003,Misc,Microsoft Game Studios,0.26,0.08,0,0.01,0.35,49,12,,,WildTangent,E,Single Player,95,45,Offline,No,60,26,No
3409XE,Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,0.17,0.13,0,0.04,0.35,83,29,9.1,17,Harmonix Music Systems,E,Single Player,315,11,Online,No,70,15,No
5496GX,Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,0.17,0.13,0,0.04,0.35,81,28,8.9,17,Mass Media,T,Single Player,22523,5,Online,Yes,46,14,No
2229WW,Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,77,21,9.1,18,Tecmo,E,Single Player,421,67,Offline,Yes,49,11,No
9927EH,Teenage Mutant Ninja Turtles,GC,2003,Action,Konami Digital Entertainment,0.26,0.07,0,0.01,0.34,57,25,8,8,Konami,E,Multi Player,5281,496,Online,No,60,17,Yes
2800XO,Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,0.24,0.09,0,0.01,0.33,72,21,8.1,18,Rare Ltd.,E,Single Player,388,26,Online,No,63,17,No
3718WH,WWE Wrestlemania XIX,GC,2003,Fighting,THQ,0.26,0.07,0,0.01,0.33,76,26,8.7,47,Yuke's,T,Single Player,21675,424,Offline,Yes,40,29,No
8089HU,Hulk,XB,2003,Action,Universal Interactive,0.25,0.07,0,0.01,0.33,69,25,7.7,9,Radical Entertainment,T,Single Player,5511,75,Online,No,60,26,No
9272OR,Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive,0.25,0.07,0,0.01,0.33,84,50,7.6,37,Ion Storm,M,Single Player,24343,17,Offline,Yes,46,16,No
2483HH,Way of the Samurai 2,PS2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,59,32,9,24,Acquire,M,Single Player,10513,288,Offline,No,70,18,No
5552UR,Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0,0.04,0.33,84,42,8.9,74,Nippon Ichi Software,T,Single Player,1674,73,Online,No,69,29,No
4412RO,Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,0.24,0.09,0,0.01,0.33,62,4,7.7,6,Digital Eclipse,E,Single Player,190,60,Offline,Yes,43,10,No
1410HO,Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,0.24,0.09,0,0.01,0.33,55,4,7.8,6,Natsume,E,Multi Player,55,42,Offline,Yes,45,11,No
9557RZ,SWAT: Global Strike Team,PS2,2003,Shooter,Vivendi Games,0.16,0.12,0,0.04,0.32,69,21,7.8,16,Argonaut Games,M,Single Player,29597,34,Online,No,63,16,No
9032OT,Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01,0.32,92,33,8.4,41,Ubisoft,T,Single Player,25693,1915,Offline,Yes,42,11,No
1371OT,Frogger's Adventures: The Rescue,PS2,2003,Platform,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,59,12,8.5,6,Konami,E,Single Player,235,58,Offline,Yes,41,28,No
7412ZU,Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision,0.16,0.12,0,0.04,0.32,78,15,8.3,12,Toys for Bob,E,Multi Player,27267,36,Offline,No,63,20,No
7622TY,NFL Fever 2004,XB,2003,Sports,Microsoft Game Studios,0.24,0.07,0,0.01,0.32,74,29,8.8,16,Microsoft Game Studios,E,Single Player,1776,36,Online,Yes,43,10,No
7258TN,Crash Nitro Kart,XB,2003,Racing,Vivendi Games,0.24,0.07,0,0.01,0.31,70,14,8.9,16,Vicarious Visions,E,Single Player,488,43,Offline,Yes,45,22,No
6180UV,Madden NFL 2004,GBA,2003,Sports,Electronic Arts,0.22,0.08,0,0.01,0.31,70,9,6.6,5,BudCat,E,Single Player,13602,1,Online,No,67,10,No
8357YD,Midtown Madness 3,XB,2003,Racing,Microsoft Game Studios,0.23,0.07,0,0.01,0.3,76,41,8.3,30,Digital Illusions,E,Multi Player,317,32,Online,Yes,50,12,Yes
4507NU,Spyro: Attack of the Rhynocs,GBA,2003,Platform,Universal Interactive,0.22,0.08,0,0.01,0.3,72,13,7.5,15,Digital Eclipse,E,Single Player,136,21,Offline,Yes,40,18,No
8242VR,Chaos Legion,PS2,2003,Action,Capcom,0.15,0.12,0,0.04,0.3,65,34,8.2,58,Capcom,T,Single Player,2715,125,Offline,No,63,25,No
2969DN,Crazy Taxi: Catch a Ride,GBA,2003,Racing,THQ,0.21,0.08,0,0.01,0.3,48,14,5.9,8,Graphic State,E,Multi Player,922,54,Online,No,62,27,Yes
6121US,Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,0.15,0.11,0,0.04,0.3,73,19,8.6,7,Anchor,M,Single Player,6010,475,Offline,Yes,45,22,No
7270RT,Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0,0.01,0.3,56,22,8.4,9,Konami,E,Multi Player,8771,390,Online,Yes,44,28,Yes
1129NF,Need for Speed Underground,GBA,2003,Racing,Electronic Arts,0.21,0.08,0,0.01,0.29,77,9,8.2,25,Pocketeers,E,Single Player,470,55,Online,No,60,22,No
2688SO,Duel Masters: Sempai Legends,GBA,2003,Misc,Atari,0.21,0.08,0,0.01,0.29,69,19,8,5,Mistic Software,E,Single Player,130,2,Online,Yes,47,15,No
8738TA,Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,0.22,0.06,0,0.01,0.29,65,30,7.4,27,Akella,T,Single Player,257,27,Offline,No,69,23,No
6534FX,SimCity 4,PC,2003,Simulation,Electronic Arts,0.01,0.24,0,0.03,0.29,84,36,8.7,268,Maxis,E,Single Player,667,57,Online,Yes,46,24,No
7452OR,Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,0.14,0.11,0,0.04,0.29,76,21,8.6,38,Ubisoft,E,Single Player,214,47,Online,No,67,14,No
6449AD,Links 2004,XB,2003,Sports,Microsoft Game Studios,0.21,0.06,0,0.01,0.29,80,41,9,9,Indie Built,E,Single Player,14332,20,Online,No,64,27,No
9256XD,Tales of Phantasia,GBA,2003,Role-Playing,Nintendo,0.08,0.03,0.17,0.01,0.29,76,29,8.1,24,Namco,E10+,Single Player,210,51,Offline,No,68,13,No
6175RL,Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,0.14,0.11,0,0.04,0.28,48,9,8.3,13,Ubisoft,E,Single Player,420,78,Offline,No,66,19,No
3099DD,Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0,0.01,0.28,70,6,,,Vicarious Visions,E,Single Player,22720,39,Offline,No,61,22,No
5352DV,R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,0.14,0.11,0,0.04,0.28,66,35,6.2,5,Namco,T,Single Player,1725,77,Online,Yes,45,30,No
6834LJ,ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,0.22,0.06,0,0.01,0.28,70,18,9,4,Climax Group,E,Single Player,1110,140,Online,No,70,18,No
9789DE,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0,0.04,0.28,56,14,7.6,21,Warthog,E,Multi Player,29352,455,Offline,Yes,40,22,No
6845VF,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.28,68,41,8.5,27,Just Add Monsters,T,Single Player,10547,854,Online,Yes,40,15,No
8152JK,Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,0.14,0.11,0,0.04,0.28,64,30,7.8,10,Paradigm Entertainment,T,Single Player,246,9,Offline,No,69,18,No
6283ET,Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0,0.04,0.28,65,21,7.7,19,Acclaim Studios Cheltenham,T,Single Player,27594,10,Online,Yes,47,30,No
4647FF,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0,0,0.28,91,29,9.1,127,KCET,T,Single Player,427,140,Offline,Yes,45,7,No
3793KJ,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.27,65,32,6.5,8,Studio Gigante,M,Multi Player,11659,419,Offline,No,67,21,No
9692TJ,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,0.21,0.05,0,0.01,0.27,80,48,9,59,Monolith Soft,T,Single Player,1321,21,Online,No,70,22,No
9070FQ,NBA Live 2004,GC,2003,Sports,Electronic Arts,0.21,0.05,0,0.01,0.27,84,17,9,4,EA Sports,E,Single Player,20636,64,Offline,No,70,26,No
6128JA,Jurassic Park: Operation Genesis,PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0,0.03,0.27,75,13,8.9,21,Blue Tongue Entertainment,T,Multi Player,1404,58,Offline,Yes,42,18,No
2954JS,ESPN NBA Basketball,XB,2003,Sports,Sega,0.2,0.06,0,0.01,0.27,87,18,8.2,25,Visual Concepts,E,Single Player,16190,20,Online,Yes,44,13,No
1871QO,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0.06,0,0.01,0.26,77,33,8.4,7,Hypnotix,M,Single Player,5867,66,Offline,Yes,44,12,No
4418AW,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,0.2,0.05,0,0.01,0.26,66,10,7.4,8,Vicarious Visions,E,Single Player,1822,69,Offline,No,61,18,No
8588SU,Frogger's Journey: The Forgotten Relic,GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0,0,0.26,59,6,,,Konami Computer Entertainment Hawaii,E,Single Player,10978,291,Online,Yes,47,6,No
8483OA,NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,58,19,7.8,8,989 Sports,E,Single Player,5279,77,Online,Yes,48,21,No
4879WS,Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,0.19,0.05,0,0.01,0.25,77,31,8.8,4,Totally Games,T,Multi Player,440,54,Online,No,66,27,No
7626UN,Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,Misc,Disney Interactive Studios,0.12,0.1,0,0.03,0.25,56,6,,,Ubisoft Shanghai,E,Single Player,235,36,Offline,No,60,29,No
8399AV,Amped 2,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0,0.01,0.25,80,34,7.7,20,Indie Built,E,Single Player,13581,73,Online,Yes,45,16,No
5960SH,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0,0.01,0.25,71,37,8.7,31,Sonic Team,E,Single Player,335,13,Offline,Yes,49,27,No
3599NF,XIII,XB,2003,Shooter,Ubisoft,0.16,0.08,0,0.01,0.25,74,38,8.3,15,Southend Interactive,M,Single Player,1492,135,Online,No,68,17,No
1241VX,Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,0.19,0.05,0,0.01,0.25,81,22,8.5,8,Aki Corp.,T,Single Player,11928,492,Online,No,64,25,No
4768HH,World Series Baseball 2K3,PS2,2003,Sports,Sega,0.12,0.1,0,0.03,0.25,87,21,8.7,19,Blue Shift,E,Single Player,8009,34,Offline,No,65,25,No
1111FZ,Vexx,PS2,2003,Platform,Acclaim Entertainment,0.12,0.09,0,0.03,0.24,63,20,7.6,11,Acclaim Studios Austin,T,Single Player,76,78,Online,No,65,26,No
9491XJ,Corvette,XB,2003,Racing,TDK Mediactive,0.18,0.05,0,0.01,0.24,53,4,8.6,12,Steel Monkeys,E,Single Player,1260,6,Online,Yes,46,29,No
1328HK,Burnout 2: Point of Impact,XB,2003,Racing,Acclaim Entertainment,0.18,0.05,0,0.01,0.24,88,23,5.1,23,Criterion Games,E,Single Player,750,29,Offline,Yes,50,10,No
2266ZO,Kill.Switch,XB,2003,Shooter,Namco Bandai Games,0.18,0.05,0,0.01,0.24,75,26,8,7,Namco,T,Multi Player,28969,28,Online,Yes,46,10,Yes
3969JF,NCAA March Madness 2004,XB,2003,Sports,Electronic Arts,0.18,0.05,0,0.01,0.24,81,16,,,EA Sports,E,Single Player,15873,76,Online,Yes,46,12,No
6762KN,My Street,PS2,2003,Misc,Sony Computer Entertainment,0.12,0.09,0,0.03,0.24,46,21,3.9,14,Idol Minds,E,Single Player,131,63,Online,No,63,24,No
9823OI,NASCAR Thunder 2004,XB,2003,Racing,Electronic Arts,0.18,0.05,0,0.01,0.23,85,14,9.1,15,EA Games,E,Single Player,1719,74,Online,Yes,48,24,No
5347FL,Tom Clancy's Splinter Cell,GC,2003,Action,Ubisoft,0.18,0.05,0,0.01,0.23,89,19,8.7,25,Ubisoft Shanghai,T,Multi Player,29219,1435,Online,No,68,19,Yes
5548NG,ESPN NHL Hockey,PS2,2003,Sports,Sega,0.11,0.09,0,0.03,0.23,90,19,7,22,Kush Games,E,Single Player,24828,75,Offline,Yes,48,27,No
9032IQ,The Italian Job,PS2,2003,Racing,Eidos Interactive,0.11,0.09,0,0.03,0.23,55,18,6.3,4,Climax Group,T,Single Player,1234,48,Online,No,63,20,No
3943LW,Freedom Fighters,XB,2003,Shooter,Electronic Arts,0.17,0.05,0,0.01,0.23,82,23,8.2,23,Io Interactive,T,Multi Player,9641,22,Online,No,66,13,Yes
1584GN,Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,0.17,0.05,0,0.01,0.23,61,26,6.5,13,Gratuitous Games,M,Single Player,22009,134,Online,Yes,48,15,No
7434QP,BlowOut,PS2,2003,Shooter,Zoo Digital Publishing,0.11,0.09,0,0.03,0.23,58,12,6.2,5,Terminal Reality,T,Single Player,9134,39,Offline,No,68,19,No
4314WI,NFL Blitz Pro,PS2,2003,Sports,Midway Games,0.11,0.09,0,0.03,0.23,73,20,8.5,14,Midway,E,Single Player,21453,71,Offline,Yes,50,24,No
5610NA,NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,61,15,,,989 Sports,E,Multi Player,26413,65,Online,No,70,26,Yes
4656PH,Rogue Ops,PS2,2003,Action,Kemco,0.11,0.09,0,0.03,0.23,61,26,9.2,6,Bits Studios,M,Single Player,15645,173,Offline,No,70,16,No
7577IE,Rugby 2004,PS2,2003,Sports,Electronic Arts,0.11,0.08,0,0.03,0.22,61,13,6.8,65,HB Studios Multimedia,E,Single Player,22742,25,Online,Yes,46,24,No
8511HQ,Samurai Jack: The Amulet of Time,GBA,2003,Platform,Zoo Digital Publishing,0.16,0.06,0,0,0.22,63,13,,,Virtucraft,T,Single Player,280,64,Offline,No,67,5,No
1511EQ,Maximo vs Army of Zin,PS2,2003,Platform,Capcom,0.1,0.08,0,0.03,0.21,83,46,7.8,13,Capcom,T,Multi Player,331,73,Offline,No,68,10,No
4449CN,Cabela's Deer Hunt: 2004 Season,XB,2003,Sports,Activision Value,0.16,0.05,0,0.01,0.21,65,5,8.4,16,FUN Labs,T,Single Player,28167,3,Offline,Yes,48,13,No
3229QX,Bionicle,GC,2003,Action,Electronic Arts,0.16,0.04,0,0.01,0.21,47,5,4.2,5,Argonaut Games,E,Single Player,11627,272,Online,Yes,49,14,No
2239QH,Shrek: Reekin' Havoc,GBA,2003,Platform,TDK Mediactive,0.15,0.06,0,0,0.21,57,11,,,TOSE,E,Single Player,183,24,Online,Yes,50,1,No
2645NR,X2: Wolverine's Revenge,XB,2003,Platform,Activision,0.15,0.04,0,0.01,0.21,58,27,6.4,9,GenePool,T,Single Player,90,47,Offline,Yes,49,23,No
6814HR,Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0,0,0.2,82,8,9.2,40,TOSE,E,Single Player,890,76,Offline,No,67,5,No
6985RN,X2: Wolverine's Revenge,GBA,2003,Platform,Activision,0.14,0.05,0,0,0.2,72,8,7.2,5,Vicarious Visions,E,Single Player,164,80,Online,Yes,44,1,No
4491CQ,MVP Baseball 2003,XB,2003,Sports,Electronic Arts,0.15,0.04,0,0.01,0.2,82,18,9,9,EA Sports,E,Multi Player,9807,80,Online,No,61,14,No
6511RJ,NCAA Final Four 2004,PS2,2003,Sports,Sony Computer Entertainment,0.1,0.08,0,0.03,0.2,45,16,,,989 Sports,E,Single Player,655,35,Offline,Yes,50,27,No
4657NM,IHRA Drag Racing 2004,XB,2003,Racing,Bethesda Softworks,0.15,0.04,0,0.01,0.2,40,5,7.4,7,Bethesda Softworks,E,Single Player,267,41,Online,Yes,48,18,No
9979QR,Gladius,PS2,2003,Strategy,Activision,0.1,0.08,0,0.03,0.2,78,27,8,22,LucasArts,T,Multi Player,1523,6,Online,No,61,24,Yes
6618JG,Tetris Worlds (Online Edition),XB,2003,Puzzle,THQ,0.15,0.04,0,0.01,0.2,62,13,,,Radical Entertainment,E,Single Player,320,15,Offline,No,61,23,No
2922MT,The Great Escape,PS2,2003,Action,SCi,0.1,0.07,0,0.02,0.2,57,19,8,21,Pivotal Games,T,Single Player,18644,257,Online,No,67,12,No
8214RS,The Hobbit,GBA,2003,Platform,Vivendi Games,0.14,0.05,0,0,0.19,67,6,9.2,17,Saffire,E,Single Player,295,102,Online,Yes,44,2,No
