,rank,name,networth,age,country,source,industry
667,665,Margot Birmingham Perot ,$4.3 B,88,United States,"computer services, real estate",Technology 
668,665,Rick Caruso ,$4.3 B,63,United States,real estate,Real Estate 
669,665,Jim Davis ,$4.3 B,62,United States,staffing & recruiting,Service 
670,665,Walter P.J. Droege ,$4.3 B,69,Germany,investing,Finance & Investments 
671,665,Dan Friedkin ,$4.3 B,57,United States,Toyota dealerships,Automotive 
672,665,Gao Dekang & family ,$4.3 B,70,China,apparel,Fashion & Retail 
673,665,Antti Herlin ,$4.3 B,65,Finland,"elevators, escalators",Manufacturing 
674,665,W. Herbert Hunt ,$4.3 B,93,United States,oil,Energy 
675,665,Jason Jiang ,$4.3 B,49,China,advertising,Media & Entertainment 
676,665,"Rupert Johnson, Jr. ",$4.3 B,81,United States,money management,Finance & Investments 
677,665,Vikram Lal & family ,$4.3 B,80,India,motorcycles,Automotive 
678,665,Lam Wai-ying ,$4.3 B,64,Hong Kong,smartphone screens,Manufacturing 
679,665,Chris Larsen ,$4.3 B,61,United States,cryptocurrency,Finance & Investments 
680,665,Richard Schulze ,$4.3 B,81,United States,Best Buy,Fashion & Retail 
681,665,Paul Singer ,$4.3 B,77,United States,hedge funds,Finance & Investments 
682,665,Barry Sternlicht ,$4.3 B,61,United States,private equity,Finance & Investments 
683,665,Su Hua ,$4.3 B,40,China,video streaming,Media & Entertainment 
684,665,Mark Walter ,$4.3 B,61,United States,finance,Finance & Investments 
685,665,Ty Warner ,$4.3 B,77,United States,"plush toys, real estate",Real Estate 
686,687,Rinat Akhmetov ,$4.2 B,55,Ukraine,"steel, coal",Metals & Mining 
687,687,Martin & Olivier Bouygues ,$4.2 B,64,France,"construction, media",Construction & Engineering 
688,687,Bernard Broermann ,$4.2 B,78,Germany,hospitals,Healthcare 
689,687,Mong-Koo Chung ,$4.2 B,84,South Korea,Hyundai,Automotive 
690,687,Daniel D'Aniello ,$4.2 B,75,United States,private equity,Finance & Investments 
691,687,Traudl Engelhorn & family ,$4.2 B,95,Germany,"pharmaceuticals, medical equipment",Healthcare 
692,687,Piero Ferrari ,$4.2 B,76,Italy,automobiles,Automotive 
693,687,Carlo Fidani ,$4.2 B,67,Canada,real estate,Real Estate 
694,687,Yakir Gabay ,$4.2 B,55,Cyprus,real estate,Real Estate 
695,687,Jaime Gilinski Bacal ,$4.2 B,64,Colombia,banking,Finance & Investments 
696,687,Bertil Hult ,$4.2 B,81,Sweden,education,Service 
697,687,Martha Ingram & family ,$4.2 B,86,United States,"book distribution, transportation",Media & Entertainment 
698,687,Lee Yin Yee ,$4.2 B,70,China,glass,Manufacturing 
699,687,Daniel Loeb ,$4.2 B,60,United States,hedge funds,Finance & Investments 
700,687,Janice McNair ,$4.2 B,85,United States,"energy, sports",Sports 
701,687,Ajay Piramal ,$4.2 B,66,India,pharmaceuticals,Healthcare 
702,687,Lynsi Snyder ,$4.2 B,39,United States,In-N-Out Burger,Food & Beverage 
703,687,Peter Spuhler ,$4.2 B,62,Switzerland,train cars,Manufacturing 
704,687,Kerry Stokes ,$4.2 B,81,Australia,"construction equipment, media",Diversified 
705,687,Jon Stryker ,$4.2 B,63,United States,medical equipment,Healthcare 
706,687,Vincent Viola ,$4.2 B,66,United States,electronic trading,Finance & Investments 
707,687,Romesh T. Wadhwani ,$4.2 B,74,United States,software,Technology 
708,709,Juan Domingo Beckmann Legorreta & family ,$4.1 B,54,Mexico,tequila,Food & Beverage 
709,709,Rafael Del Pino ,$4.1 B,63,Spain,construction,Construction & Engineering 
710,709,Sergey Dmitriev ,$4.1 B,56,Russia,computer software,Technology 
711,709,Senapathy Gopalakrishnan ,$4.1 B,67,India,software services,Technology 
712,709,James Irving ,$4.1 B,94,Canada,diversified,Diversified 
713,709,Lee Boo-jin ,$4.1 B,51,South Korea,Samsung,Service 
714,709,Samuel Tak Lee ,$4.1 B,82,Hong Kong,real estate,Real Estate 
715,709,Thai Lee ,$4.1 B,63,United States,IT provider,Technology 
716,709,Eric Lefkofsky ,$4.1 B,52,United States,"Groupon, investments",Technology 
717,709,Weiguo Li ,$4.1 B,57,China,construction materials,Manufacturing 
718,709,Ermirio Pereira de Moraes & family ,$4.1 B,89,Brazil,diversified,Diversified 
719,709,Maria Helena Moraes Scripilliti & family ,$4.1 B,91,Brazil,diversified,Diversified 
720,709,Augusto & Giorgio Perfetti ,$4.1 B,64,Italy,candy,Food & Beverage 
721,709,Thomas Secunda ,$4.1 B,67,United States,Bloomberg LP,Media & Entertainment 
722,709,Shaul Shani ,$4.1 B,67,Israel,telecom,Telecom 
723,709,E. Joe Shoen ,$4.1 B,72,United States,U-Haul,Automotive 
724,709,Steven Udvar-Hazy ,$4.1 B,76,United States,aircraft leasing,Service 
725,709,Russ Weiner ,$4.1 B,51,United States,energy drinks,Food & Beverage 
726,709,Guanjiang Wu & family ,$4.1 B,53,China,pharmaceuticals,Healthcare 
727,728,Anil Agarwal & family ,$4 B,68,India,"mining, metals",Metals & Mining 
728,728,Somphote Ahunai ,$4 B,54,Thailand,renewable energy,Energy 
729,728,Patrizio Bertelli ,$4 B,76,Italy,luxury goods,Fashion & Retail 
730,728,Rakesh Gangwal ,$4 B,68,United States,airline,Service 
731,728,Paul Gauselmann & family ,$4 B,87,Germany,gambling,Gambling & Casinos 
732,728,Hao Hong ,$4 B,66,United States,pharmaceuticals,Healthcare 
733,728,He Xiaopeng ,$4 B,44,China,electric vehicles,Automotive 
734,728,Michael Herz ,$4 B,78,Germany,coffee,Fashion & Retail 
735,728,Wolfgang Herz ,$4 B,71,Germany,coffee,Fashion & Retail 
736,728,Arthur Irving ,$4 B,92,Canada,oil,Energy 
737,728,Victor Jacobsson ,$4 B,40,Sweden,fintech,Finance & Investments 
738,728,Marc Ladreit de Lacharriere ,$4 B,81,France,finance,Finance & Investments 
739,728,Patrick Lee ,$4 B,80,Hong Kong,paper,Manufacturing 
740,728,Max Lytvyn ,$4 B,42,Canada,software,Technology 
741,728,Gilles Martin ,$4 B,58,France,laboratory services,Healthcare 
742,728,Ramzi Musallam ,$4 B,53,United States,private equity,Finance & Investments 
743,728,Georg Nemetschek & family ,$4 B,88,Germany,software,Technology 
744,728,Akio Nitori ,$4 B,78,Japan,home furnishings,Fashion & Retail 
745,728,Daniel Och ,$4 B,61,United States,hedge funds,Finance & Investments 
746,728,Pankaj Patel ,$4 B,69,India,pharmaceuticals,Healthcare 
747,728,John Paulson ,$4 B,66,United States,hedge funds,Finance & Investments 
748,728,Miuccia Prada ,$4 B,72,Italy,luxury goods,Fashion & Retail 
749,728,Jean (Gigi) Pritzker ,$4 B,59,United States,"hotels, investments",Service 
750,728,Juan Roig ,$4 B,72,Spain,supermarkets,Fashion & Retail 
751,728,David Rubenstein ,$4 B,72,United States,private equity,Finance & Investments 
752,728,Howard Schultz ,$4 B,68,United States,Starbucks,Food & Beverage 
753,728,Alex Shevchenko ,$4 B,42,Canada,software,Technology 
754,728,Dan Snyder ,$4 B,57,United States,Washington Football Team,Sports 
755,728,Jerzy Starak ,$4 B,74,Poland,pharmaceuticals,Healthcare 
756,728,Udo & Harald Tschira ,$4 B,64,Germany,software,Technology 
757,728,Kelcy Warren ,$4 B,66,United States,pipelines,Energy 
758,728,Herbert Wertheim ,$4 B,82,United States,investments,Finance & Investments 
759,728,Cameron Winklevoss ,$4 B,40,United States,cryptocurrency,Finance & Investments 
760,728,Tyler Winklevoss ,$4 B,40,United States,cryptocurrency,Finance & Investments 
761,728,Denise York & family ,$4 B,71,United States,San Francisco 49ers,Sports 
762,728,Zhao Lixin ,$4 B,56,China,electronics,Technology 
763,764,Hubert Burda ,$3.9 B,82,Germany,publishing,Media & Entertainment 
764,764,Francesco Gaetano Caltagirone ,$3.9 B,79,Italy,"cement, diversified",Construction & Engineering 
765,764,Marcos Galperin ,$3.9 B,64,Argentina,e-commerce,Technology 
766,764,Li Xiang ,$3.9 B,40,China,electric vehicles,Automotive 
767,764,"Stephen Mandel, Jr. ",$3.9 B,66,United States,hedge funds,Finance & Investments 
768,764,Gabe Newell ,$3.9 B,59,United States,videogames,Gambling & Casinos 
769,764,Maja Oeri ,$3.9 B,67,Switzerland,pharmaceuticals,Healthcare 
770,764,Paolo & Gianfelice Mario Rocca ,$3.9 B,64,Italy,pipe manufacturing,Metals & Mining 
771,764,Neil Shen ,$3.9 B,54,China,venture capital,Finance & Investments 
772,764,Helmut Sohmen ,$3.9 B,82,Austria,shipping,Logistics 
773,764,Donald Sterling ,$3.9 B,87,United States,real estate,Real Estate 
774,764,Don Vultaggio & family ,$3.9 B,70,United States,beverages,Food & Beverage 
775,764,Yiling Wu ,$3.9 B,72,China,pharmaceuticals,Healthcare 
776,764,Gongshan Zhu ,$3.9 B,64,China,solar panel materials,Manufacturing 
777,778,Gayle Benson ,$3.8 B,75,United States,pro sports teams,Sports 
778,778,"William Conway, Jr. ",$3.8 B,72,United States,private equity,Finance & Investments 
779,778,Gurbachan Singh Dhingra ,$3.8 B,71,India,paints,Manufacturing 
780,778,Kuldip Singh Dhingra ,$3.8 B,74,India,paints,Manufacturing 
781,778,Luca Garavoglia ,$3.8 B,53,Italy,spirits,Food & Beverage 
782,778,Vinod & Anil Rai Gupta ,$3.8 B,64,India,electrical equipment,Manufacturing 
783,778,Jimmy Haslam ,$3.8 B,68,United States,"gas stations, retail",Fashion & Retail 
784,778,Susan Carol Holland ,$3.8 B,65,Italy,hearing aids,Manufacturing 
785,778,Timur Kulibaev ,$3.8 B,55,Kazakhstan,banking,Finance & Investments 
786,778,Dinara Kulibaeva ,$3.8 B,54,Kazakhstan,banking,Finance & Investments 
787,778,Michel Leclercq & family ,$3.8 B,82,France,sporting goods,Fashion & Retail 
788,778,Pablo Legorreta ,$3.8 B,58,United States,investments,Finance & Investments 
789,778,Margarita Louis-Dreyfus & family ,$3.8 B,59,Switzerland,commodities,Food & Beverage 
790,778,Michael Milken ,$3.8 B,75,United States,investments,Finance & Investments 
791,778,Denis O'Brien ,$3.8 B,63,Ireland,telecom,Telecom 
792,778,Katharina Otto-Bernstein ,$3.8 B,58,Germany,real estate,Real Estate 
793,778,James Packer ,$3.8 B,54,Australia,casinos,Gambling & Casinos 
794,778,Sergio Stevanato & family ,$3.8 B,79,Italy,medical packaging,Healthcare 
795,778,Leena Tewari ,$3.8 B,64,India,pharmaceuticals,Healthcare 
796,778,Yitzhak Tshuva ,$3.8 B,73,Israel,real estate,Real Estate 
797,778,Paul-Heinz Wesjohann & family ,$3.8 B,78,Germany,chicken processing,Food & Beverage 
798,778,Zeng Fangqin ,$3.8 B,56,China,smartphone components,Technology 
799,778,Zhou Bajin ,$3.8 B,86,China,auto parts,Manufacturing 
800,801,William Berkley ,$3.7 B,75,United States,insurance,Finance & Investments 
801,801,John Catsimatidis ,$3.7 B,73,United States,"oil, real estate",Energy 
802,801,Che Jianxing ,$3.7 B,55,China,furniture retailing,Fashion & Retail 
803,801,Gustavo Denegri ,$3.7 B,85,Italy,biotech,Healthcare 
804,801,Charles Edelstenne ,$3.7 B,84,France,aviation,Manufacturing 
805,801,Reed Hastings ,$3.7 B,61,United States,Netflix,Media & Entertainment 
806,801,"Amos Hostetter, Jr. ",$3.7 B,85,United States,cable television,Media & Entertainment 
807,801,Brad Jacobs ,$3.7 B,65,United States,logistics,Logistics 
808,801,Friedrich Knapp ,$3.7 B,70,Germany,fashion retail,Fashion & Retail 
809,801,William Lauder ,$3.7 B,61,United States,Estee Lauder,Fashion & Retail 
810,801,Richard LeFrak & family ,$3.7 B,76,United States,real estate,Real Estate 
811,801,Li Guoqiang ,$3.7 B,58,China,auto dealerships,Automotive 
812,801,Low Tuck Kwong ,$3.7 B,73,Indonesia,coal,Energy 
813,801,Akira Mori & family ,$3.7 B,85,Japan,real estate,Real Estate 
814,801,Anthony Pritzker ,$3.7 B,61,United States,"hotels, investments",Service 
815,801,Ira Rennert ,$3.7 B,87,United States,investments,Finance & Investments 
816,801,"Bernard Saul, II. ",$3.7 B,89,United States,"banking, real estate",Finance & Investments 
817,801,Shi Yonghong & family ,$3.7 B,53,China,restaurants,Food & Beverage 
818,801,Song Chi-hyung ,$3.7 B,43,South Korea,cryptocurrency,Finance & Investments 
819,801,Steven Spielberg ,$3.7 B,75,United States,movies,Media & Entertainment 
820,801,Wong Luen Hei ,$3.7 B,60,China,building materials,Manufacturing 
821,822,Danielle Bellon & family ,$3.6 B,82,France,food services,Service 
822,822,Byju Raveendran and Divya Gokulnath ,$3.6 B,40,India,education technology,Technology 
823,822,Cho Tak Wong ,$3.6 B,75,Hong Kong,auto parts,Manufacturing 
824,822,Charles Cohen ,$3.6 B,70,United States,real estate,Real Estate 
825,822,Kenneth Dart ,$3.6 B,66,Belize,investments,Finance & Investments 
826,822,Martin Ebner ,$3.6 B,76,Switzerland,investments,Finance & Investments 
827,822,David Filo ,$3.6 B,55,United States,Yahoo,Technology 
828,822,Miguel Fluxa Rossello ,$3.6 B,83,Spain,hotels,Service 
829,822,John Henry ,$3.6 B,72,United States,sports,Sports 
830,822,Hu Kaijun ,$3.6 B,60,China,pharmaceuticals,Healthcare 
831,822,Peter Kellogg ,$3.6 B,79,United States,investments,Finance & Investments 
832,822,James Leprino ,$3.6 B,84,United States,cheese,Food & Beverage 
833,822,Iskander Makhmudov ,$3.6 B,58,Russia,"mining, metals, machinery",Metals & Mining 
834,822,Daniel Mate ,$3.6 B,58,Spain,"mining, commodities",Metals & Mining 
835,822,Aristotelis Mistakidis ,$3.6 B,60,Greece,"mining, commodities",Metals & Mining 
836,822,Arturo Moreno ,$3.6 B,75,United States,"billboards, Los Angeles Angels",Sports 
837,822,Nan Cunhui ,$3.6 B,58,China,power equipment,Manufacturing 
838,822,Julio Ponce Lerou ,$3.6 B,76,Chile,fertilizer,Metals & Mining 
839,822,J.B. Pritzker ,$3.6 B,57,United States,"hotels, investments",Finance & Investments 
840,822,Chandru Raheja ,$3.6 B,81,India,real estate,Real Estate 
841,822,Rodger Riney & family ,$3.6 B,76,United States,discount brokerage,Finance & Investments 
842,822,Shi Yuzhu ,$3.6 B,59,China,"online games, investments",Diversified 
843,822,Zuowen Song ,$3.6 B,75,China,"aluminum, diversified",Diversified 
844,822,Jerry Speyer ,$3.6 B,81,United States,real estate,Real Estate 
845,822,Julia Thiele-Schuerhoff ,$3.6 B,50,Germany,"brakes, investments",Manufacturing 
846,822,Tung Chee Chen ,$3.6 B,79,Hong Kong,shipping,Logistics 
847,822,Roger Wang ,$3.6 B,73,United States,retail,Fashion & Retail 
848,822,Wu Shaoxun ,$3.6 B,66,China,wine,Food & Beverage 
849,822,Wenzhong Zhang ,$3.6 B,60,China,supermarkets,Fashion & Retail 
850,851,Chen Kaixuan ,$3.5 B,63,China,household chemicals,Manufacturing 
851,851,Beatriz Davila de Santo Domingo ,$3.5 B,83,Colombia,beer,Food & Beverage 
852,851,Antonio Del Valle Ruiz & family ,$3.5 B,83,Mexico,chemicals,Manufacturing 
853,851,Carl Douglas ,$3.5 B,60,Sweden,investments,Diversified 
854,851,Eric Douglas ,$3.5 B,53,Sweden,investments,Diversified 
855,851,Jiangtao Du & family ,$3.5 B,52,China,chemicals,Manufacturing 
856,851,Juan Carlos Escotet ,$3.5 B,62,Venezuela,banking,Finance & Investments 
857,851,Fiona Geminder ,$3.5 B,57,Australia,manufacturing,Manufacturing 
858,851,Yuhua Gu & family ,$3.5 B,72,China,furniture,Manufacturing 
859,851,James Irsay ,$3.5 B,62,United States,Indianapolis Colts,Sports 
860,851,Kuok Khoon Hong ,$3.5 B,72,Singapore,palm oil,Manufacturing 
861,851,Aerin Lauder ,$3.5 B,51,United States,cosmetics,Fashion & Retail 
862,851,Lee Seo-hyun ,$3.5 B,48,South Korea,Samsung,Diversified 
863,851,Li Yongxin & family ,$3.5 B,46,China,education,Service 
864,851,Jeffrey Lurie ,$3.5 B,70,United States,Philadelphia Eagles,Sports 
865,851,Mary Alice Dorrance Malone ,$3.5 B,72,United States,Campbell Soup,Food & Beverage 
866,851,Ronald McAulay ,$3.5 B,86,Hong Kong,energy,Energy 
867,851,Apoorva Mehta ,$3.5 B,35,Canada,grocery delivery service,Technology 
868,851,Arnon Milchan ,$3.5 B,77,Israel,movie making,Media & Entertainment 
869,851,Masahiro Noda ,$3.5 B,83,Japan,software,Technology 
870,851,Maren Otto ,$3.5 B,64,Germany,"retail, real estate",Diversified 
871,851,Renzo Rosso & family ,$3.5 B,66,Italy,fashion,Fashion & Retail 
872,851,Lynn Schusterman ,$3.5 B,83,United States,"oil & gas, investments",Energy 
873,851,Gil Shwed ,$3.5 B,53,Israel,software,Technology 
874,851,Thomas Siebel ,$3.5 B,69,United States,business software,Technology 
875,851,Herb Simon ,$3.5 B,87,United States,real estate,Real Estate 
876,851,Friede Springer ,$3.5 B,79,Germany,publishing,Media & Entertainment 
877,851,Wang Zhenhua ,$3.5 B,60,China,real estate,Real Estate 
878,851,Hans Peter Wild ,$3.5 B,80,Switzerland,flavorings,Food & Beverage 
879,851,"William Wrigley, Jr. ",$3.5 B,58,United States,chewing gum,Food & Beverage 
880,851,Xia Zuoquan ,$3.5 B,60,China,"automobiles, batteries",Automotive 
881,851,Xue Hua ,$3.5 B,52,China,agribusiness,Manufacturing 
882,883,Mohed Altrad ,$3.4 B,74,France,"scaffolding, cement mixers",Construction & Engineering 
883,883,Sid Bass ,$3.4 B,79,United States,"oil, investments",Energy 
884,883,Nick Caporella ,$3.4 B,86,United States,beverages,Food & Beverage 
885,883,Cheng Yixiao ,$3.4 B,38,China,video streaming app,Media & Entertainment 
886,883,Wesley Edens ,$3.4 B,60,United States,investments,Finance & Investments 
887,883,Behdad Eghbali ,$3.4 B,45,United States,private equity,Finance & Investments 
888,883,Archie Aldis Emmerson & family ,$3.4 B,92,United States,"timberland, lumber mills",Manufacturing 
889,883,Jose E. Feliciano ,$3.4 B,48,United States,private equity,Finance & Investments 
890,883,Fu Liquan & family ,$3.4 B,54,China,surveillance equipment,Technology 
891,883,David Gottesman ,$3.4 B,95,United States,investments,Finance & Investments 
892,883,Laurence Graff & family ,$3.4 B,83,United Kingdom,diamond jewelry,Fashion & Retail 
893,883,Jeff T. Green ,$3.4 B,45,United States,digital advertising,Media & Entertainment 
894,883,Jim Kavanaugh ,$3.4 B,59,United States,IT provider,Technology 
895,883,Steven Klinsky ,$3.4 B,65,United States,investments,Finance & Investments 
896,883,John Middleton ,$3.4 B,67,United States,tobacco,Food & Beverage 
897,883,Jerry Ng ,$3.4 B,56,Indonesia,banking,Finance & Investments 
898,883,Tengyun Nie & family ,$3.4 B,46,China,logistics,Service 
899,883,Nandan Nilekani ,$3.4 B,66,India,software services,Technology 
900,883,Bob Parsons ,$3.4 B,71,United States,web hosting,Technology 
901,883,Prasert Prasarttong-Osoth ,$3.4 B,89,Thailand,hospitals,Healthcare 
902,883,Qiu Guanghe & family ,$3.4 B,70,China,fashion retail,Fashion & Retail 
903,883,Richard Sands ,$3.4 B,71,United States,liquor,Food & Beverage 
904,883,Robert Sands ,$3.4 B,63,United States,liquor,Food & Beverage 
905,883,T. Denny Sanford ,$3.4 B,86,United States,"banking, credit cards",Finance & Investments 
906,883,Naguib Sawiris ,$3.4 B,67,Egypt,telecom,Telecom 
907,883,Pavel Tykac ,$3.4 B,57,Czechia,coal mines,Metals & Mining 
908,883,Todd Wanek ,$3.4 B,58,United States,furniture,Manufacturing 
909,883,Meg Whitman ,$3.4 B,65,United States,eBay,Technology 
910,883,Michael Xie ,$3.4 B,53,United States,cybersecurity,Technology 
911,883,Chenghai Ye & family ,$3.4 B,78,Hong Kong,pharmaceuticals,Healthcare 
912,913,An Kang ,$3.3 B,73,China,pharmaceuticals,Healthcare 
913,913,John Arnold ,$3.3 B,48,United States,hedge funds,Finance & Investments 
914,913,Arun Bharat Ram ,$3.3 B,81,India,chemicals,Manufacturing 
915,913,Tomasz Biernacki ,$3.3 B,49,Poland,supermarkets,Fashion & Retail 
916,913,Travis Boersma ,$3.3 B,51,United States,coffee,Food & Beverage 
917,913,Chan Tan Ching-fen ,$3.3 B,64,Hong Kong,real estate,Real Estate 
918,913,Dongsheng Chen ,$3.3 B,64,China,insurance,Finance & Investments 
919,913,Jean Coutu & family ,$3.3 B,94,Canada,drugstores,Fashion & Retail 
920,913,Ralph Dommermuth ,$3.3 B,58,Germany,internet service provider,Technology 
921,913,Walter Faria ,$3.3 B,67,Brazil,beer,Food & Beverage 
922,913,Bob Gaglardi ,$3.3 B,81,Canada,hotels,Real Estate 
923,913,John Gandel ,$3.3 B,87,Australia,shopping malls,Real Estate 
924,913,Xuande Hua & family ,$3.3 B,78,China,pharmaceuticals,Healthcare 
925,913,Micky Jagtiani ,$3.3 B,70,India,retail,Fashion & Retail 
926,913,H. Fisk Johnson ,$3.3 B,63,United States,cleaning products,Manufacturing 
927,913,S. Curtis Johnson ,$3.3 B,66,United States,cleaning products,Manufacturing 
928,913,Helen Johnson-Leipold ,$3.3 B,65,United States,cleaning products,Manufacturing 
929,913,Miguel Krigsner ,$3.3 B,72,Brazil,cosmetics,Fashion & Retail 
930,913,Li Jianquan & family ,$3.3 B,65,Hong Kong,consumer products,Healthcare 
931,913,Lin Ming-hsiung ,$3.3 B,72,Taiwan,supermarkets,Fashion & Retail 
932,913,Winifred J. Marquart ,$3.3 B,62,United States,cleaning products,Manufacturing 
933,913,Kiran Mazumdar-Shaw ,$3.3 B,69,India,biopharmaceuticals,Healthcare 
934,913,Patrice Motsepe ,$3.3 B,60,South Africa,mining,Metals & Mining 
935,913,Alfred Oetker ,$3.3 B,55,Germany,consumer goods,Fashion & Retail 
936,913,Carl Ferdinand Oetker ,$3.3 B,49,Germany,consumer goods,Fashion & Retail 
937,913,Julia Oetker ,$3.3 B,43,Germany,consumer goods,Fashion & Retail 
938,913,Or Wai Sheun ,$3.3 B,70,Hong Kong,real estate,Real Estate 
939,913,Jay Paul ,$3.3 B,74,United States,real estate,Real Estate 
940,913,Horst Paulmann & family ,$3.3 B,87,Chile,retail,Fashion & Retail 
941,913,Theodore Rachmat ,$3.3 B,78,Indonesia,diversified,Diversified 
942,913,John Sall ,$3.3 B,74,United States,software,Technology 
943,913,Stefan von Holtzbrinck ,$3.3 B,58,Germany,publishing,Media & Entertainment 
944,913,Nusli Wadia ,$3.3 B,78,India,consumer goods,Food & Beverage 
945,913,Steve Wynn ,$3.3 B,80,United States,"casinos, hotels",Gambling & Casinos 
946,913,Yang Weidong & family ,$3.3 B,53,China,chemicals,Manufacturing 
947,913,Barry Zekelman ,$3.3 B,55,Canada,steel,Manufacturing 
948,913,Zhang Shilong & family ,$3.3 B,56,China,semiconductor,Technology 
949,913,Zhong Ruonong & family ,$3.3 B,59,China,electronics,Manufacturing 
950,951,Cameron Adams ,$3.2 B,42,Australia,software,Technology 
951,951,Dongchen Cai ,$3.2 B,69,China,pharmaceuticals,Healthcare 
952,951,Vanich Chaiyawan ,$3.2 B,90,Thailand,"insurance, beverages",Finance & Investments 
953,951,Andrew & Peggy Cherng ,$3.2 B,64,United States,restaurants,Food & Beverage 
954,951,James Clark ,$3.2 B,78,United States,"Netscape, investments",Technology 
955,951,Jack Cowin ,$3.2 B,79,Australia,fast food,Food & Beverage 
956,951,Giuseppe Crippa & family ,$3.2 B,86,Italy,microchip testing,Manufacturing 
957,951,Sergei Galitsky ,$3.2 B,54,Russia,retail,Fashion & Retail 
958,951,"Ernest Garcia, III ",$3.2 B,39,United States,used cars,Automotive 
959,951,Peter Gilgan ,$3.2 B,71,Canada,homebuilding,Construction & Engineering 
960,951,Joseph Grendys ,$3.2 B,60,United States,poultry processing,Food & Beverage 
961,951,Thomas Hagen ,$3.2 B,86,United States,insurance,Finance & Investments 
962,951,"Robert Hale, Jr. ",$3.2 B,55,United States,telecom,Telecom 
963,951,Michael Hintze ,$3.2 B,68,Australia,investment,Finance & Investments 
964,951,Pansy Ho ,$3.2 B,59,Hong Kong,casinos,Gambling & Casinos 
965,951,Alan Howard ,$3.2 B,58,United Kingdom,hedge funds,Finance & Investments 
966,951,Kei Hoi Pang ,$3.2 B,56,China,real estate,Real Estate 
967,951,Rudy Ma ,$3.2 B,81,Taiwan,finance,Finance & Investments 
968,951,Najib Mikati ,$3.2 B,66,Lebanon,telecom,Telecom 
969,951,Taha Mikati ,$3.2 B,77,Lebanon,telecom,Telecom 
970,951,Gail Miller ,$3.2 B,78,United States,car dealerships,Automotive 
971,951,Vikas Oberoi ,$3.2 B,51,India,real estate,Real Estate 
972,951,"H. Ross Perot, Jr. ",$3.2 B,63,United States,real estate,Real Estate 
973,951,Candido Pinheiro Koren de Lima ,$3.2 B,75,Brazil,"hospitals, health insurance",Healthcare 
974,951,Matthew Prince ,$3.2 B,47,United States,cybersecurity,Technology 
975,951,Penny Pritzker ,$3.2 B,62,United States,"hotels, investments",Finance & Investments 
976,951,Yasumitsu Shigeta ,$3.2 B,57,Japan,mobile phone retailer,Telecom 
977,951,Sebastian Siemiatkowski ,$3.2 B,40,Sweden,fintech,Finance & Investments 
978,951,Barry Silbert ,$3.2 B,45,United States,cryptocurrency,Finance & Investments 
979,951,Daniel Sundheim ,$3.2 B,45,United States,hedge funds,Finance & Investments 
980,951,Rita Tong Liu ,$3.2 B,73,Hong Kong,real estate,Real Estate 
981,951,Tran Dinh Long ,$3.2 B,61,Vietnam,steel,Manufacturing 
982,951,Zhang Daocai ,$3.2 B,72,China,valves,Diversified 
983,984,John Caudwell ,$3.1 B,69,United Kingdom,mobile phones,Telecom 
984,984,Philippe Foriel-Destezet ,$3.1 B,86,France,employment agency,Service 
985,984,Walter Frey ,$3.1 B,78,Switzerland,car dealerships,Automotive 
986,984,Alessandra Garavoglia ,$3.1 B,62,Italy,spirits,Food & Beverage 
987,984,Peter Gassner ,$3.1 B,57,United States,software,Technology 
988,984,Mitchell Goldhar ,$3.1 B,60,Canada,real estate,Real Estate 
989,984,Otto Happel ,$3.1 B,74,Germany,engineering,Construction & Engineering 
990,984,Peter Hargreaves ,$3.1 B,75,United Kingdom,financial services,Finance & Investments 
991,984,Bom Kim ,$3.1 B,43,United States,online retailing,Technology 
992,984,Gaiteng Li ,$3.1 B,49,China,hair dryers,Manufacturing 
993,984,Liufa Li & family ,$3.1 B,64,China,"steel, diversified",Diversified 
994,984,Lu Weiding ,$3.1 B,51,China,diversified,Diversified 
995,984,Harsh Mariwala ,$3.1 B,70,India,consumer goods,Food & Beverage 
996,984,Samir Mehta ,$3.1 B,58,India,"pharmaceuticals, power",Healthcare 
997,984,Sudhir Mehta ,$3.1 B,67,India,"pharmaceuticals, power",Healthcare 
998,984,Pawan Munjal & family ,$3.1 B,68,India,motorcycles,Automotive 
999,984,Nguyen Thi Phuong Thao ,$3.1 B,51,Vietnam,airlines,Diversified 
1000,984,Madhukar Parekh ,$3.1 B,75,India,adhesives,Manufacturing 
1001,984,Sergei Popov ,$3.1 B,50,Russia,banking,Finance & Investments 
1002,984,Haim Saban ,$3.1 B,77,United States,"TV network, investments",Media & Entertainment 
1003,984,Karthik Sarma ,$3.1 B,47,India,hedge fund,Finance & Investments 
1004,984,Klaus-Peter Schulenberg ,$3.1 B,70,Germany,ticketing service,Service 
1005,984,Pat Stryker ,$3.1 B,65,United States,medical equipment,Healthcare 
1006,984,Jeff Sutton ,$3.1 B,62,United States,real estate,Real Estate 
1007,984,Jon Yarbrough ,$3.1 B,64,United States,video games,Gambling & Casinos 
1008,984,Gang Ye ,$3.1 B,41,Singapore,gaming,Media & Entertainment 
1009,984,Yi Zheng ,$3.1 B,51,China,software,Technology 
1010,984,Zhang Fan ,$3.1 B,56,China,touch screens,Technology 
1011,1012,William Ackman ,$3 B,55,United States,hedge funds,Finance & Investments 
1012,1012,Markus Blocher ,$3 B,51,Switzerland,chemicals,Manufacturing 
