Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
85.03,30,60372.64,204.52,Expanded clear-thinking core,North Shannon,Female,Philippines,19-06-2016 09:24,0
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,Male,Algeria,06-06-2016 21:26,0
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,Male,San Marino,07-01-2016 13:25,0
39.96,45,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,Male,Guernsey,15-04-2016 06:08,1
57.05,41,50278.89,269.96,Seamless full-range website,Port Erinberg,Male,Sierra Leone,09-01-2016 03:45,1
42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,Female,Tajikistan,10-02-2016 15:23,1
62.2,25,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,Female,Liechtenstein,24-04-2016 13:42,1
76.7,36,71136.49,222.25,Open-source coherent monitoring,West Russell,Female,Ecuador,12-06-2016 05:31,0
61.22,45,63883.81,119.03,Streamlined logistical secured line,South Adam,Male,Switzerland,05-01-2016 09:42,1
84.54,33,64902.47,204.02,Synchronized stable complexity,North Tracyport,Male,Moldova,02-03-2016 10:07,0
75.03,34,,,Networked local secured line,East Mike,Female,Uruguay,03-06-2016 03:36,1
46.08,30,66784.81,164.63,Synergistic value-added extranet,Brownport,Male,Finland,21-07-2016 10:54,1
56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,Female,France,09-01-2016 04:53,1
81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,Female,Venezuela,06-01-2016 13:20,0
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,Female,Cuba,31-01-2016 04:10,0
40.06,38,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,Male,Peru,11-06-2016 08:38,1
83.47,39,64447.77,226.11,Total directional approach,New Brandy,Female,Turkey,15-05-2016 20:48,0
73.84,31,42042.95,121.05,Programmable uniform productivity,South Jasminebury,Female,Albania,18-06-2016 17:23,1
74.65,28,67669.06,212.56,Robust transitional ability,East Timothy,Female,French Southern Territories,17-03-2016 05:00,0
60.25,35,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,Female,Papua New Guinea,29-06-2016 13:35,1
59.21,35,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,Male,Liechtenstein,02-02-2016 08:55,1
43.02,44,50199.77,125.22,Configurable bottom-line application,West Lindseybury,Female,Thailand,13-04-2016 05:42,1
84.04,38,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,Female,Malaysia,20-07-2016 09:27,0
70.66,43,63450.96,120.95,Versatile scalable encryption,Lake Craigview,Male,Mauritius,26-02-2016 04:57,1
70.58,26,56694.12,136.94,Proactive next generation knowledge user,Lake David,Female,Algeria,26-02-2016 09:18,1
72.44,34,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,Female,Christmas Island,15-04-2016 14:45,0
40.17,26,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,Male,Japan,01-02-2016 14:37,1
79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,Female,Greenland,20-01-2016 19:09,0
44.49,53,63100.13,168,Business-focused real-time toolset,Jacksonburgh,Male,Sao Tome and Principe,23-04-2016 06:28,1
73.04,37,73687.5,221.79,Organic contextually-based focus group,Erinmouth,Male,Senegal,19-06-2016 22:26,0
76.28,33,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,Female,Guadeloupe,15-02-2016 07:55,0
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,Female,Belgium,09-02-2016 19:37,0
73.1,28,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,Female,Israel,25-01-2016 07:52,0
47.66,29,27086.4,156.54,Devolved responsive structure,Tinaton,Female,Honduras,18-07-2016 11:33,1
87.3,35,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,Female,Estonia,09-01-2016 07:28,0
89.34,32,50216.01,177.78,Object-based executive productivity,Wendyton,Male,Paraguay,21-03-2016 21:15,0
81.37,26,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,Male,,15-02-2016 12:25,0
81.67,28,62927.96,196.76,Visionary analyzing structure,North Christopher,Male,Mauritania,04-03-2016 08:48,0
46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,Female,French Guiana,05-01-2016 00:02,1
54.88,24,32006.82,148.61,Customizable modular Internet solution,West Pamela,Female,Northern Mariana Islands,15-05-2016 01:03,1
40.67,35,48913.07,133.18,Stand-alone encompassing throughput,West Amanda,Female,,05-05-2016 09:28,1
71.76,35,69285.69,237.39,Customizable zero-defect matrix,South Tomside,Female,Saint Pierre and Miquelon,26-05-2016 13:18,0
47.51,51,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,Male,American Samoa,21-05-2016 01:36,1
75.15,22,52011,212.87,Universal global intranet,Jamiefort,Male,Austria,04-05-2016 12:06,0
56.01,26,46339.25,127.26,Re-engineered real-time success,Garciamouth,Female,Tonga,05-07-2016 18:59,1
82.87,37,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,Female,Tonga,28-06-2016 20:13,0
45.05,42,66348.95,141.36,Digitized contextually-based product,South Kyle,Female,French Southern Territories,05-05-2016 11:09,1
60.53,24,66873.9,167.22,Organic interactive support,Combsstad,Female,Serbia,25-03-2016 15:17,1
50.52,31,72270.88,171.62,Function-based stable alliance,Lake Allenville,Female,New Caledonia,23-01-2016 15:02,1
84.71,32,61610.05,210.23,Reactive responsive emulation,Greenechester,Female,Taiwan,29-05-2016 07:29,0
55.2,39,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,Male,United States of America,30-05-2016 07:36,1
81.61,33,62667.51,228.76,Enterprise-wide local matrices,Gravesport,Female,Morocco,17-04-2016 15:46,0
71.55,36,75687.46,163.99,Inverse next generation moratorium,South Troy,Male,Suriname,20-07-2016 23:08,0
82.4,36,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,Male,Macedonia,29-06-2016 03:07,0
73.95,35,67714.82,238.58,Persevering even-keeled help-desk,Millerland,Female,Wallis and Futuna,10-04-2016 14:48,0
72.07,31,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,Female,Chile,16-04-2016 16:38,0
80.39,31,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,Female,Gabon,03-05-2016 08:21,0
65.8,25,60843.32,231.49,Expanded radical software,Clineshire,Male,Gabon,18-03-2016 16:04,0
69.97,28,55041.6,250,Mandatory 3rdgeneration moderator,Cynthiaside,Female,Holy See (Vatican City State),22-05-2016 00:01,0
52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,Female,Seychelles,01-02-2016 20:30,1
39.25,39,62378.05,152.36,Customer-focused incremental system engine,Michellefort,Female,Mayotte,23-01-2016 17:39,1
77.56,38,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,Male,Uganda,19-05-2016 03:52,1
33.52,43,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,Female,Cambodia,09-05-2016 21:54,1
79.81,24,56194.56,178.85,Proactive context-sensitive project,North Daniel,Male,Antigua and Barbuda,31-05-2016 11:44,1
84.79,33,61771.9,214.53,Managed eco-centric encoding,New Juan,Female,Cameroon,30-03-2016 19:09,0
82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,Female,Somalia,09-01-2016 15:49,0
84.88,32,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,Female,Lebanon,18-04-2016 03:41,0
54.92,54,23975.35,161.16,Extended interactive model,Roberttown,Female,Saint Pierre and Miquelon,13-06-2016 13:59,1
76.56,34,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,Male,Dominica,23-04-2016 08:15,0
69.74,49,66524.8,243.37,Enhanced maximized access,Birdshire,Female,Hungary,27-03-2016 16:41,0
75.55,22,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,Female,Taiwan,19-02-2016 07:29,1
72.19,33,61275.18,250.35,Synchronized national infrastructure,Curtisview,Male,Saint Lucia,19-05-2016 11:16,0
84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,Female,Niue,27-01-2016 20:47,0
73.89,39,47160.53,110.68,Horizontal national architecture,North April,Female,France,20-04-2016 00:41,1
75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,Female,Cyprus,07-02-2016 07:41,0
73.38,25,53058.91,236.19,Horizontal transitional challenge,South Corey,Male,French Southern Territories,21-04-2016 09:30,0
80.72,31,68614.98,186.37,Re-engineered neutral success,Juliaport,Female,Costa Rica,19-04-2016 05:15,0
62.06,44,44174.25,105,Adaptive contextually-based methodology,Port Paultown,Female,Austria,12-04-2016 14:01,1
51.5,34,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,Female,Zambia,15-03-2016 11:25,1
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,Female,Congo,16-02-2016 18:21,0
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,New Steve,Male,United States of America,18-02-2016 23:08,0
66.18,35,69476.42,243.61,Proactive asymmetric definition,New Johnberg,Female,Pitcairn Islands,25-03-2016 08:40,0
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,Female,Belize,16-03-2016 00:28,0
36.87,36,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,Female,Anguilla,28-01-2016 11:50,1
34.78,48,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,Male,South Africa,24-03-2016 02:01,1
76.84,32,65883.39,231.59,Reduced incremental productivity,Faithview,Female,Singapore,03-03-2016 22:31,0
67.05,25,65421.39,220.92,Realigned scalable standardization,Richardsontown,Female,Finland,26-02-2016 09:54,0
41.47,31,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,Female,Martinique,06-07-2016 15:56,1
80.71,26,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,Female,Cameroon,24-06-2016 05:50,0
80.09,31,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,Female,Sweden,23-05-2016 21:00,0
56.3,49,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,Male,New Caledonia,03-02-2016 19:12,1
79.36,34,57260.41,245.78,Profound maximized workforce,Hessstad,Male,Bosnia and Herzegovina,28-04-2016 22:54,0
86.38,40,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,Male,Singapore,19-03-2016 14:57,0
38.94,41,57587,142.67,Optional mission-critical functionalities,Lewismouth,Male,Falkland Islands (Malvinas),15-07-2016 09:08,1
87.26,35,63060.55,184.03,Multi-layered tangible portal,New Paul,Female,Bosnia and Herzegovina,12-05-2016 04:35,0
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,Male,Mauritius,01-01-2016 21:58,0
74.38,,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,Male,Indonesia,13-03-2016 13:50,0
65.9,22,60550.66,211.39,De-engineered tertiary secured line,Hartport,Female,Czech Republic,16-07-2016 14:13,0
36.31,47,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,Female,Eritrea,18-04-2016 00:49,1
72.23,48,52736.33,115.35,Integrated coherent pricing structure,Burgessside,Female,Mexico,17-07-2016 01:13,1
88.12,38,46653.75,230.91,Realigned next generation projection,Hurleyborough,Female,Gibraltar,17-02-2016 07:05,0
83.97,28,56986.73,205.5,Reactive needs-based instruction set,Garychester,Male,Haiti,16-06-2016 02:33,0
61.09,26,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,Male,Falkland Islands (Malvinas),09-04-2016 16:31,1
65.77,21,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,Male,Eritrea,18-03-2016 17:35,0
81.58,25,39699.13,199.39,Decentralized needs-based analyzer,Erikville,Female,Hong Kong,11-05-2016 22:02,0
37.87,,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,Male,Gambia,25-05-2016 20:10,1
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,Female,Barbados,29-02-2016 19:26,0
60.91,19,53309.61,184.94,Upgradable directional system engine,Port Kathleenfort,Female,Nauru,09-06-2016 14:24,1
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,Female,Peru,30-01-2016 16:15,0
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,Male,El Salvador,15-02-2016 05:35,0
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,Female,Libyan Arab Jamahiriya,31-01-2016 06:14,0
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,Male,Cambodia,05-01-2016 16:34,0
74.87,52,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,Female,Saint Barthelemy,31-05-2016 02:17,1
87.09,36,57737.51,221.98,Synergized coherent interface,Luischester,Male,Reunion,21-04-2016 16:10,0
37.45,,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,Female,Antigua and Barbuda,10-04-2016 03:30,1
49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,Female,Samoa,09-02-2016 07:21,1
51.38,59,42362.49,158.56,Object-based modular functionalities,East Anthony,Female,Afghanistan,17-06-2016 17:11,1
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,Female,Azerbaijan,22-05-2016 21:54,0
38.91,33,56369.74,150.8,Versatile reciprocal structure,Morrismouth,Male,Philippines,13-07-2016 07:41,1
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,Male,Angola,23-01-2016 18:59,1
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,Male,Albania,20-05-2016 12:17,0
73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,Male,Hungary,30-01-2016 04:38,1
69.11,42,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,Male,Faroe Islands,21-04-2016 12:34,0
71.9,54,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,Male,Czech Republic,22-04-2016 20:32,1
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,Male,Svalbard & Jan Mayen Islands,11-01-2016 06:02,0
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,Female,Afghanistan,01-03-2016 10:01,0
74.62,36,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,Female,Rwanda,04-04-2016 08:19,0
82.07,25,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,Male,Panama,20-06-2016 06:30,0
58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,Female,Samoa,28-01-2016 07:10,1
36.08,45,41417.27,151.47,Automated client-driven orchestration,Davidside,Male,United States Minor Outlying Islands,03-07-2016 04:11,1
79.44,26,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,Female,Greece,15-05-2016 13:18,0
41.73,47,60812.77,144.71,Proactive client-server productivity,Andersonchester,Female,Cote d'Ivoire,08-04-2016 22:48,1
73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,Male,,19-01-2016 12:18,0
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,Male,,08-04-2016 22:48,0
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,Male,Anguilla,26-05-2016 15:40,0
89,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,Male,Cyprus,26-01-2016 15:56,0
69.2,42,26023.99,123.8,Balanced value-added database,Meyersstad,Female,Peru,17-06-2016 09:58,1
67.56,31,62318.38,125.45,Seamless composite budgetary management,Michelleside,Female,Kenya,25-04-2016 21:15,1
81.11,39,56216.57,248.19,Total cohesive moratorium,South Robert,Male,Chad,13-07-2016 11:41,0
80.22,30,61806.31,224.58,Integrated motivating neural-net,New Tyler,Female,Kyrgyz Republic,05-07-2016 15:14,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,Male,Albania,15-03-2016 14:06,1
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,Female,Gabon,19-06-2016 22:08,0
74.63,26,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,Male,Dominican Republic,05-07-2016 20:16,0
49.67,27,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,Female,Zimbabwe,09-05-2016 08:44,1
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,Female,Croatia,21-07-2016 23:14,0
83.49,33,66574,190.75,Polarized logistical hub,Samuelborough,Male,Cambodia,03-06-2016 17:32,0
44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,Male,Mongolia,15-01-2016 19:40,1
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,Male,Honduras,05-02-2016 16:50,0
63.88,38,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,Female,Madagascar,29-02-2016 23:56,1
78.83,36,66050.63,234.64,Future-proofed responsive matrix,New Wanda,Male,Qatar,08-05-2016 12:08,0
79.97,44,70449.04,216,Programmable empowering middleware,Mariebury,Female,China,13-07-2016 01:48,0
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,Male,Bangladesh,08-01-2016 02:34,0
62.26,26,70203.74,202.77,Public-key mission-critical core,New Jasmine,Female,Swaziland,08-06-2016 12:25,0
66.99,47,27262.51,124.44,Operative actuating installation,Lopezberg,Male,Tanzania,15-06-2016 11:56,1
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,Male,Eritrea,13-06-2016 22:41,0
42.05,51,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,Male,Canada,20-06-2016 14:20,1
50.52,28,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,Female,Saint Kitts and Nevis,03-04-2016 06:17,1
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,Male,Burkina Faso,31-05-2016 23:42,0
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,Male,Tuvalu,15-02-2016 03:43,0
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,Male,El Salvador,10-03-2016 23:26,1
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,Female,Madagascar,26-02-2016 17:01,0
39.34,43,31215.88,148.93,Proactive radical support,Alvaradoport,Female,Bangladesh,17-04-2016 21:39,1
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,Female,American Samoa,26-03-2016 19:54,0
57.24,52,46473.14,117.35,Profound optimizing utilization,Richardsonland,Male,Latvia,29-06-2016 21:39,1
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,Female,Moldova,27-01-2016 17:55,0
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,Male,Anguilla,17-03-2016 23:39,1
48.73,27,34191.23,142.04,Versatile content-based protocol,Monicaview,Female,Bangladesh,09-07-2016 16:23,1
51.68,49,51067.54,258.62,Seamless cohesive conglomeration,Katieport,Female,Faroe Islands,28-06-2016 12:51,1
35.34,45,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,Female,Taiwan,18-06-2016 16:32,1
48.09,33,19345.36,180.42,Balanced motivating help-desk,West Travismouth,Female,Heard Island and McDonald Islands,28-05-2016 12:38,1
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,Female,Israel,16-01-2016 16:40,0
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,Male,Bolivia,11-07-2016 15:45,0
56.99,40,37713.23,108.15,Sharable optimal capacity,Brownton,Female,Bahamas,16-07-2016 23:08,1
86.63,39,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,Male,Costa Rica,06-04-2016 21:20,0
41.18,43,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,Male,Myanmar,05-07-2016 00:54,1
71.03,32,57846.68,120.85,Advanced systemic productivity,Keithtown,Female,Netherlands Antilles,17-02-2016 23:47,1
72.92,,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,Male,Czech Republic,15-03-2016 17:33,0
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,Male,Iceland,21-01-2016 18:51,0
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,Male,Palau,06-06-2016 22:41,0
34.3,41,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,Male,Libyan Arab Jamahiriya,16-05-2016 14:50,1
83.71,45,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,Male,Kazakhstan,17-04-2016 19:10,0
53.38,35,60803.37,120.06,Total local synergy,Alexanderview,Male,French Guiana,30-03-2016 01:05,1
58.03,31,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,Female,Tuvalu,29-06-2016 09:04,1
43.59,36,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,Male,Congo,26-05-2016 13:43,1
60.07,42,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,Male,United Kingdom,15-04-2016 10:16,1
54.43,37,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,Male,Luxembourg,31-05-2016 09:06,1
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,Female,French Polynesia,15-02-2016 14:13,0
60.53,29,56759.48,123.28,Networked even-keeled workforce,Williamsport,Female,Papua New Guinea,09-05-2016 10:21,1
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,Male,Maldives,07-07-2016 23:32,0
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,Male,Zambia,03-01-2016 17:10,0
88.89,35,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,Male,Cook Islands,17-07-2016 18:55,0
69.58,43,28028.74,255.07,Cross-group value-added success,Port Katelynview,Female,Congo,04-04-2016 18:36,1
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,Male,Senegal,27-02-2016 12:34,0
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,Male,Myanmar,08-06-2016 20:13,0
56.66,42,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,Female,Dominican Republic,20-02-2016 10:52,1
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,Male,Bahrain,23-03-2016 21:06,0
76.24,27,63976.44,214.42,Monitored dynamic instruction set,Munozberg,Female,Puerto Rico,07-06-2016 01:29,0
57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,Male,Chile,18-01-2016 15:18,1
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,Female,Bolivia,09-06-2016 19:32,0
46.04,32,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,Female,Serbia,30-05-2016 20:07,1
79.4,35,63966.72,236.87,User-centric intangible contingency,New Gabriel,Female,Malaysia,01-04-2016 09:21,0
36.44,39,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,Male,Estonia,31-05-2016 06:21,1
53.14,38,49111.47,109,Automated web-enabled migration,West Julia,Male,Greenland,03-07-2016 22:13,1
32.84,40,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,Female,Trinidad and Tobago,10-03-2016 01:36,1
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,Male,Thailand,18-03-2016 02:39,0
38.1,34,60641.09,214.38,Optional secondary access,North Aaronchester,Male,Philippines,30-05-2016 18:08,1
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,Female,Niue,20-02-2016 00:06,0
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,Female,Afghanistan,10-03-2016 22:28,1
77.69,22,48852.58,169.88,Horizontal heuristic support,Morganfort,Male,Angola,21-06-2016 14:32,0
43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,Female,Egypt,05-02-2016 15:26,1
55.92,24,33951.63,145.08,Focused systemic benchmark,Taylorhaven,Female,Fiji,31-05-2016 21:41,1
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,Female,Portugal,01-01-2016 02:52,0
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,Male,Austria,04-03-2016 14:10,0
82.12,52,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,Male,Germany,03-02-2016 10:40,1
66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,Female,Panama,20-01-2016 00:26,0
43.01,35,48347.64,127.37,Organized 24/7 middleware,Butlerfort,Female,United States of America,11-06-2016 09:37,1
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,Male,Christmas Island,08-03-2016 05:48,0
64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,Male,Equatorial Guinea,14-02-2016 22:23,1
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,Male,Micronesia,17-07-2016 22:04,0
48.03,40,25598.75,134.6,Networked stable array,East Lindsey,Male,Malta,02-06-2016 22:16,1
32.99,45,49282.87,177.46,Phased full-range hardware,Masseyshire,Female,Ecuador,30-04-2016 19:42,1
74.88,27,67240.25,175.17,Organized empowering policy,Sarahton,Male,Sudan,17-04-2016 06:58,0
36.49,52,42136.33,196.61,Object-based system-worthy superstructure,Ryanhaven,Male,Lao People's Democratic Republic,09-03-2016 00:41,1
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,Male,Saint Vincent and the Grenadines,07-03-2016 20:02,0
45.7,33,67384.31,151.12,Self-enabling multimedia system engine,New Williammouth,Male,Switzerland,26-05-2016 10:33,1
82.38,35,25603.93,159.6,Polarized analyzing intranet,Port Blake,Female,Spain,18-07-2016 01:36,1
52.68,23,39616,149.2,Vision-oriented attitude-oriented Internet solution,West Richard,Male,Turks and Caicos Islands,16-07-2016 05:56,1
65.59,47,28265.81,121.81,Digitized disintermediate ability,Brandymouth,Female,Indonesia,22-03-2016 06:41,1
65.65,25,63879.72,224.92,Intuitive explicit firmware,Sandraville,Male,Cook Islands,03-06-2016 06:34,0
43.84,36,70592.81,167.42,Public-key real-time definition,Port Jessica,Female,Australia,28-06-2016 09:19,1
67.69,37,76408.19,216.57,Monitored content-based implementation,Lake Jasonchester,Female,Finland,18-07-2016 18:33,0
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,Female,Pakistan,23-01-2016 04:47,0
81.46,29,51636.12,231.54,Intuitive fresh-thinking moderator,Sellerstown,Female,Ireland,29-02-2016 11:00,0
47.48,31,29359.2,141.34,Reverse-engineered 24hour hardware,Yuton,Female,Eritrea,30-06-2016 00:19,1
75.15,33,71296.67,219.49,Synchronized zero tolerance product,Smithtown,Male,France,19-06-2016 18:19,0
78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,Male,Austria,08-01-2016 08:08,0
44.96,50,52802,132.71,Focused fresh-thinking Graphic Interface,South Peter,Male,Heard Island and McDonald Islands,02-01-2016 12:25,1
39.56,41,59243.46,143.13,Ameliorated exuding solution,Port Mitchell,Male,Western Sahara,13-05-2016 11:57,1
39.76,28,35350.55,196.83,Integrated maximized service-desk,Pottermouth,Male,Liberia,08-02-2016 14:02,1
57.11,22,59677.64,207.17,Self-enabling tertiary challenge,Lake Jonathanview,Male,Dominican Republic,07-06-2016 23:46,0
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,Male,Tonga,02-01-2016 14:36,0
69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,Female,Lao People's Democratic Republic,13-02-2016 04:16,0
50.6,30,34191.13,129.88,Realigned reciprocal framework,New Daniellefort,Male,United States of America,03-05-2016 12:57,1
46.2,37,51315.38,119.3,Distributed maximized ability,Welchshire,Female,Belgium,03-04-2016 11:38,1
66.88,35,62790.96,119.47,Polarized bifurcated array,Russellville,Male,Indonesia,23-03-2016 19:58,1
