,Daily_Time_Spent_on_Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
226,78.7,30.0,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,Female,Turkey,10-02-2016 19:20,1
227,57.35,29.0,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,Female,Kazakhstan,23-04-2016 14:34,1
228,34.86,38.0,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,Female,Czech Republic,18-06-2016 17:56,1
229,70.68,31.0,74430.08,199.08,Configurable multi-state utilization,Robertbury,Female,Colombia,17-07-2016 01:58,0
230,76.06,23.0,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,Female,Brunei Darussalam,27-04-2016 04:28,0
231,66.67,33.0,72707.87,228.03,Horizontal content-based synergy,Turnerview,Male,Taiwan,21-04-2016 20:29,0
232,46.77,32.0,31092.93,136.4,Multi-tiered maximized archive,Reneechester,Male,Serbia,23-03-2016 06:00,1
233,62.42,38.0,74445.18,143.94,Diverse executive groupware,West Tinashire,Female,Saint Pierre and Miquelon,19-07-2016 07:59,1
234,78.32,28.0,49309.14,239.52,Synergized cohesive array,Jamesfurt,Female,Australia,26-06-2016 11:52,1
235,37.32,50.0,56735.14,199.25,Versatile dedicated software,New Nancy,Male,Chad,30-03-2016 23:40,1
236,40.42,45.0,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,Male,Norway,16-03-2016 07:59,1
237,76.77,36.0,58348.41,123.51,Universal even-keeled analyzer,Harveyport,Female,Turks and Caicos Islands,04-05-2016 00:01,1
238,65.65,30.0,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,Female,Finland,02-07-2016 21:22,0
239,74.32,33.0,62060.11,128.17,Monitored real-time superstructure,North Kevinside,Female,South Africa,23-05-2016 21:14,1
240,73.27,32.0,67113.46,234.75,Streamlined analyzing initiative,Haleview,Male,Martinique,29-01-2016 20:16,0
241,80.03,44.0,24030.06,150.84,Automated static concept,Christinetown,Female,Afghanistan,23-07-2016 14:47,1
242,53.68,47.0,56180.93,115.26,Operative stable moderator,New Michael,Male,Micronesia,16-02-2016 09:11,1
243,85.84,32.0,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,Male,French Southern Territories,09-06-2016 21:43,0
244,85.03,30.0,60372.64,204.52,Expanded clear-thinking core,North Shannon,Female,Philippines,19-06-2016 09:24,0
245,70.44,24.0,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,Male,Algeria,06-06-2016 21:26,0
246,81.22,53.0,34309.24,223.09,Networked coherent interface,Port Jason,Male,San Marino,07-01-2016 13:25,0
247,39.96,45.0,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,Male,Guernsey,15-04-2016 06:08,1
248,57.05,41.0,50278.89,269.96,Seamless full-range website,Port Erinberg,Male,Sierra Leone,09-01-2016 03:45,1
249,42.44,56.0,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,Female,Tajikistan,10-02-2016 15:23,1
250,62.2,25.0,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,Female,Liechtenstein,24-04-2016 13:42,1
251,76.7,36.0,71136.49,222.25,Open-source coherent monitoring,West Russell,Female,Ecuador,12-06-2016 05:31,0
252,61.22,45.0,63883.81,119.03,Streamlined logistical secured line,South Adam,Male,Switzerland,05-01-2016 09:42,1
253,84.54,33.0,64902.47,204.02,Synchronized stable complexity,North Tracyport,Male,Moldova,02-03-2016 10:07,0
254,75.03,34.0,54958.57,180.04192039800995,Networked local secured line,East Mike,Female,Uruguay,03-06-2016 03:36,1
255,46.08,30.0,66784.81,164.63,Synergistic value-added extranet,Brownport,Male,Finland,21-07-2016 10:54,1
256,56.7,48.0,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,Female,France,09-01-2016 04:53,1
257,81.03,28.0,63727.5,201.15,Persevering tertiary capability,Masonhaven,Female,Venezuela,06-01-2016 13:20,0
258,80.91,32.0,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,Female,Cuba,31-01-2016 04:10,0
259,40.06,38.0,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,Male,Peru,11-06-2016 08:38,1
260,83.47,39.0,64447.77,226.11,Total directional approach,New Brandy,Female,Turkey,15-05-2016 20:48,0
261,73.84,31.0,42042.95,121.05,Programmable uniform productivity,South Jasminebury,Female,Albania,18-06-2016 17:23,1
262,74.65,28.0,67669.06,212.56,Robust transitional ability,East Timothy,Female,French Southern Territories,17-03-2016 05:00,0
263,60.25,35.0,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,Female,Papua New Guinea,29-06-2016 13:35,1
264,59.21,35.0,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,Male,Liechtenstein,02-02-2016 08:55,1
265,43.02,44.0,50199.77,125.22,Configurable bottom-line application,West Lindseybury,Female,Thailand,13-04-2016 05:42,1
266,84.04,38.0,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,Female,Malaysia,20-07-2016 09:27,0
267,70.66,43.0,63450.96,120.95,Versatile scalable encryption,Lake Craigview,Male,Mauritius,26-02-2016 04:57,1
268,70.58,26.0,56694.12,136.94,Proactive next generation knowledge user,Lake David,Female,Algeria,26-02-2016 09:18,1
269,72.44,34.0,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,Female,Christmas Island,15-04-2016 14:45,0
270,40.17,26.0,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,Male,Japan,01-02-2016 14:37,1
271,79.15,26.0,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,Female,Greenland,20-01-2016 19:09,0
272,44.49,53.0,63100.13,168.0,Business-focused real-time toolset,Jacksonburgh,Male,Sao Tome and Principe,23-04-2016 06:28,1
273,73.04,37.0,73687.5,221.79,Organic contextually-based focus group,Erinmouth,Male,Senegal,19-06-2016 22:26,0
274,76.28,33.0,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,Female,Guadeloupe,15-02-2016 07:55,0
275,68.88,37.0,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,Female,Belgium,09-02-2016 19:37,0
276,73.1,28.0,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,Female,Israel,25-01-2016 07:52,0
277,47.66,29.0,27086.4,156.54,Devolved responsive structure,Tinaton,Female,Honduras,18-07-2016 11:33,1
278,87.3,35.0,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,Female,Estonia,09-01-2016 07:28,0
279,89.34,32.0,50216.01,177.78,Object-based executive productivity,Wendyton,Male,Paraguay,21-03-2016 21:15,0
280,81.37,26.0,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,Male,Czech Republic,15-02-2016 12:25,0
281,81.67,28.0,62927.96,196.76,Visionary analyzing structure,North Christopher,Male,Mauritania,04-03-2016 08:48,0
282,46.37,52.0,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,Female,French Guiana,05-01-2016 00:02,1
283,54.88,24.0,32006.82,148.61,Customizable modular Internet solution,West Pamela,Female,Northern Mariana Islands,15-05-2016 01:03,1
284,40.67,35.0,48913.07,133.18,Stand-alone encompassing throughput,West Amanda,Female,Czech Republic,05-05-2016 09:28,1
285,71.76,35.0,69285.69,237.39,Customizable zero-defect matrix,South Tomside,Female,Saint Pierre and Miquelon,26-05-2016 13:18,0
286,47.51,51.0,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,Male,American Samoa,21-05-2016 01:36,1
287,75.15,22.0,52011.0,212.87,Universal global intranet,Jamiefort,Male,Austria,04-05-2016 12:06,0
288,56.01,26.0,46339.25,127.26,Re-engineered real-time success,Garciamouth,Female,Tonga,05-07-2016 18:59,1
289,82.87,37.0,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,Female,Tonga,28-06-2016 20:13,0
290,45.05,42.0,66348.95,141.36,Digitized contextually-based product,South Kyle,Female,French Southern Territories,05-05-2016 11:09,1
291,60.53,24.0,66873.9,167.22,Organic interactive support,Combsstad,Female,Serbia,25-03-2016 15:17,1
292,50.52,31.0,72270.88,171.62,Function-based stable alliance,Lake Allenville,Female,New Caledonia,23-01-2016 15:02,1
293,84.71,32.0,61610.05,210.23,Reactive responsive emulation,Greenechester,Female,Taiwan,29-05-2016 07:29,0
294,55.2,39.0,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,Male,United States of America,30-05-2016 07:36,1
295,81.61,33.0,62667.51,228.76,Enterprise-wide local matrices,Gravesport,Female,Morocco,17-04-2016 15:46,0
296,71.55,36.0,75687.46,163.99,Inverse next generation moratorium,South Troy,Male,Suriname,20-07-2016 23:08,0
297,82.4,36.0,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,Male,Macedonia,29-06-2016 03:07,0
298,73.95,35.0,67714.82,238.58,Persevering even-keeled help-desk,Millerland,Female,Wallis and Futuna,10-04-2016 14:48,0
299,72.07,31.0,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,Female,Chile,16-04-2016 16:38,0
300,80.39,31.0,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,Female,Gabon,03-05-2016 08:21,0
301,65.8,25.0,60843.32,231.49,Expanded radical software,Clineshire,Male,Gabon,18-03-2016 16:04,0
302,69.97,28.0,55041.6,250.0,Mandatory 3rdgeneration moderator,Cynthiaside,Female,Holy See (Vatican City State),22-05-2016 00:01,0
303,52.62,50.0,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,Female,Seychelles,01-02-2016 20:30,1
304,39.25,39.0,62378.05,152.36,Customer-focused incremental system engine,Michellefort,Female,Mayotte,23-01-2016 17:39,1
305,77.56,38.0,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,Male,Uganda,19-05-2016 03:52,1
306,33.52,43.0,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,Female,Cambodia,09-05-2016 21:54,1
307,79.81,24.0,56194.56,178.85,Proactive context-sensitive project,North Daniel,Male,Antigua and Barbuda,31-05-2016 11:44,1
308,84.79,33.0,61771.9,214.53,Managed eco-centric encoding,New Juan,Female,Cameroon,30-03-2016 19:09,0
309,82.7,35.0,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,Female,Somalia,09-01-2016 15:49,0
310,84.88,32.0,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,Female,Lebanon,18-04-2016 03:41,0
311,54.92,54.0,23975.35,161.16,Extended interactive model,Roberttown,Female,Saint Pierre and Miquelon,13-06-2016 13:59,1
312,76.56,34.0,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,Male,Dominica,23-04-2016 08:15,0
313,69.74,49.0,66524.8,243.37,Enhanced maximized access,Birdshire,Female,Hungary,27-03-2016 16:41,0
314,75.55,22.0,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,Female,Taiwan,19-02-2016 07:29,1
315,72.19,33.0,61275.18,250.35,Synchronized national infrastructure,Curtisview,Male,Saint Lucia,19-05-2016 11:16,0
316,84.29,41.0,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,Female,Niue,27-01-2016 20:47,0
317,73.89,39.0,47160.53,110.68,Horizontal national architecture,North April,Female,France,20-04-2016 00:41,1
318,75.84,21.0,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,Female,Cyprus,07-02-2016 07:41,0
319,73.38,25.0,53058.91,236.19,Horizontal transitional challenge,South Corey,Male,French Southern Territories,21-04-2016 09:30,0
320,80.72,31.0,68614.98,186.37,Re-engineered neutral success,Juliaport,Female,Costa Rica,19-04-2016 05:15,0
321,62.06,44.0,44174.25,105.0,Adaptive contextually-based methodology,Port Paultown,Female,Austria,12-04-2016 14:01,1
322,51.5,34.0,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,Female,Zambia,15-03-2016 11:25,1
323,90.97,37.0,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,Female,Congo,16-02-2016 18:21,0
324,86.78,30.0,54952.42,170.13,Fundamental zero tolerance solution,New Steve,Male,United States of America,18-02-2016 23:08,0
325,66.18,35.0,69476.42,243.61,Proactive asymmetric definition,New Johnberg,Female,Pitcairn Islands,25-03-2016 08:40,0
326,84.33,41.0,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,Female,Belize,16-03-2016 00:28,0
327,36.87,36.0,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,Female,Anguilla,28-01-2016 11:50,1
328,34.78,48.0,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,Male,South Africa,24-03-2016 02:01,1
329,76.84,32.0,65883.39,231.59,Reduced incremental productivity,Faithview,Female,Singapore,03-03-2016 22:31,0
330,67.05,25.0,65421.39,220.92,Realigned scalable standardization,Richardsontown,Female,Finland,26-02-2016 09:54,0
331,41.47,31.0,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,Female,Martinique,06-07-2016 15:56,1
332,80.71,26.0,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,Female,Cameroon,24-06-2016 05:50,0
333,80.09,31.0,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,Female,Sweden,23-05-2016 21:00,0
334,56.3,49.0,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,Male,New Caledonia,03-02-2016 19:12,1
335,79.36,34.0,57260.41,245.78,Profound maximized workforce,Hessstad,Male,Bosnia and Herzegovina,28-04-2016 22:54,0
336,86.38,40.0,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,Male,Singapore,19-03-2016 14:57,0
337,38.94,41.0,57587.0,142.67,Optional mission-critical functionalities,Lewismouth,Male,Falkland Islands (Malvinas),15-07-2016 09:08,1
338,87.26,35.0,63060.55,184.03,Multi-layered tangible portal,New Paul,Female,Bosnia and Herzegovina,12-05-2016 04:35,0
339,75.32,28.0,59998.5,233.6,Reduced mobile structure,Lake Angela,Male,Mauritius,01-01-2016 21:58,0
340,74.38,35.0,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,Male,Indonesia,13-03-2016 13:50,0
341,65.9,22.0,60550.66,211.39,De-engineered tertiary secured line,Hartport,Female,Czech Republic,16-07-2016 14:13,0
342,36.31,47.0,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,Female,Eritrea,18-04-2016 00:49,1
343,72.23,48.0,52736.33,115.35,Integrated coherent pricing structure,Burgessside,Female,Mexico,17-07-2016 01:13,1
344,88.12,38.0,46653.75,230.91,Realigned next generation projection,Hurleyborough,Female,Gibraltar,17-02-2016 07:05,0
345,83.97,28.0,56986.73,205.5,Reactive needs-based instruction set,Garychester,Male,Haiti,16-06-2016 02:33,0
346,61.09,26.0,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,Male,Falkland Islands (Malvinas),09-04-2016 16:31,1
347,65.77,21.0,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,Male,Eritrea,18-03-2016 17:35,0
348,81.58,25.0,39699.13,199.39,Decentralized needs-based analyzer,Erikville,Female,Hong Kong,11-05-2016 22:02,0
349,37.87,35.0,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,Male,Gambia,25-05-2016 20:10,1
350,76.2,37.0,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,Female,Barbados,29-02-2016 19:26,0
351,60.91,19.0,53309.61,184.94,Upgradable directional system engine,Port Kathleenfort,Female,Nauru,09-06-2016 14:24,1
352,74.49,28.0,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,Female,Peru,30-01-2016 16:15,0
353,73.71,23.0,56605.12,211.38,Inverse local hub,New Sheila,Male,El Salvador,15-02-2016 05:35,0
354,78.19,30.0,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,Female,Libyan Arab Jamahiriya,31-01-2016 06:14,0
355,79.54,44.0,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,Male,Cambodia,05-01-2016 16:34,0
356,74.87,52.0,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,Female,Saint Barthelemy,31-05-2016 02:17,1
357,87.09,36.0,57737.51,221.98,Synergized coherent interface,Luischester,Male,Reunion,21-04-2016 16:10,0
358,37.45,35.0,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,Female,Antigua and Barbuda,10-04-2016 03:30,1
359,49.84,39.0,45800.48,111.59,Reduced multimedia project,Hannaport,Female,Samoa,09-02-2016 07:21,1
360,51.38,59.0,42362.49,158.56,Object-based modular functionalities,East Anthony,Female,Afghanistan,17-06-2016 17:11,1
361,83.4,34.0,66691.23,207.87,Polarized multimedia system engine,West Daleborough,Female,Azerbaijan,22-05-2016 21:54,0
362,38.91,33.0,56369.74,150.8,Versatile reciprocal structure,Morrismouth,Male,Philippines,13-07-2016 07:41,1
363,62.14,41.0,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,Male,Angola,23-01-2016 18:59,1
364,79.72,28.0,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,Male,Albania,20-05-2016 12:17,0
365,73.3,36.0,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,Male,Hungary,30-01-2016 04:38,1
366,69.11,42.0,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,Male,Faroe Islands,21-04-2016 12:34,0
367,71.9,54.0,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,Male,Czech Republic,22-04-2016 20:32,1
368,72.45,29.0,72325.91,195.36,Centralized 24hour synergy,Robertmouth,Male,Svalbard & Jan Mayen Islands,11-01-2016 06:02,0
369,77.07,40.0,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,Female,Afghanistan,01-03-2016 10:01,0
370,74.62,36.0,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,Female,Rwanda,04-04-2016 08:19,0
371,82.07,25.0,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,Male,Panama,20-06-2016 06:30,0
372,58.6,50.0,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,Female,Samoa,28-01-2016 07:10,1
373,36.08,45.0,41417.27,151.47,Automated client-driven orchestration,Davidside,Male,United States Minor Outlying Islands,03-07-2016 04:11,1
374,79.44,26.0,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,Female,Greece,15-05-2016 13:18,0
375,41.73,47.0,60812.77,144.71,Proactive client-server productivity,Andersonchester,Female,Cote d'Ivoire,08-04-2016 22:48,1
376,73.19,25.0,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,Male,Czech Republic,19-01-2016 12:18,0
377,80.49,40.0,67186.54,229.12,Balanced heuristic approach,Amyhaven,Male,Czech Republic,08-04-2016 22:48,0
378,77.6,24.0,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,Male,Anguilla,26-05-2016 15:40,0
379,89.0,37.0,52079.18,222.26,Devolved regional moderator,Jordanmouth,Male,Cyprus,26-01-2016 15:56,0
380,69.2,42.0,26023.99,123.8,Balanced value-added database,Meyersstad,Female,Peru,17-06-2016 09:58,1
381,67.56,31.0,62318.38,125.45,Seamless composite budgetary management,Michelleside,Female,Kenya,25-04-2016 21:15,1
382,81.11,39.0,56216.57,248.19,Total cohesive moratorium,South Robert,Male,Chad,13-07-2016 11:41,0
383,80.22,30.0,61806.31,224.58,Integrated motivating neural-net,New Tyler,Female,Kyrgyz Republic,05-07-2016 15:14,0
384,43.63,41.0,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,Male,Albania,15-03-2016 14:06,1
385,77.66,29.0,67080.94,168.15,Operative scalable emulation,Reyesland,Female,Gabon,19-06-2016 22:08,0
386,74.63,26.0,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,Male,Dominican Republic,05-07-2016 20:16,0
387,49.67,27.0,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,Female,Zimbabwe,09-05-2016 08:44,1
388,80.59,37.0,67744.56,224.23,Robust responsive collaboration,Lake Courtney,Female,Croatia,21-07-2016 23:14,0
389,83.49,33.0,66574.0,190.75,Polarized logistical hub,Samuelborough,Male,Cambodia,03-06-2016 17:32,0
390,44.46,42.0,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,Male,Mongolia,15-01-2016 19:40,1
391,68.1,40.0,74903.41,227.73,Reactive composite project,Thomasstad,Male,Honduras,05-02-2016 16:50,0
392,63.88,38.0,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,Female,Madagascar,29-02-2016 23:56,1
393,78.83,36.0,66050.63,234.64,Future-proofed responsive matrix,New Wanda,Male,Qatar,08-05-2016 12:08,0
394,79.97,44.0,70449.04,216.0,Programmable empowering middleware,Mariebury,Female,China,13-07-2016 01:48,0
395,80.51,28.0,64008.55,200.28,Robust dedicated system engine,Christopherville,Male,Bangladesh,08-01-2016 02:34,0
396,62.26,26.0,70203.74,202.77,Public-key mission-critical core,New Jasmine,Female,Swaziland,08-06-2016 12:25,0
397,66.99,47.0,27262.51,124.44,Operative actuating installation,Lopezberg,Male,Tanzania,15-06-2016 11:56,1
398,71.05,20.0,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,Male,Eritrea,13-06-2016 22:41,0
399,42.05,51.0,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,Male,Canada,20-06-2016 14:20,1
400,50.52,28.0,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,Female,Saint Kitts and Nevis,03-04-2016 06:17,1
401,76.24,40.0,75524.78,198.32,Managed impactful definition,Bakerhaven,Male,Burkina Faso,31-05-2016 23:42,0
402,77.29,27.0,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,Male,Tuvalu,15-02-2016 03:43,0
403,35.98,47.0,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,Male,El Salvador,10-03-2016 23:26,1
404,84.95,34.0,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,Female,Madagascar,26-02-2016 17:01,0
405,39.34,43.0,31215.88,148.93,Proactive radical support,Alvaradoport,Female,Bangladesh,17-04-2016 21:39,1
406,87.23,29.0,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,Female,American Samoa,26-03-2016 19:54,0
407,57.24,52.0,46473.14,117.35,Profound optimizing utilization,Richardsonland,Male,Latvia,29-06-2016 21:39,1
408,81.58,41.0,55479.62,248.16,Cloned explicit middleware,East Sheriville,Female,Moldova,27-01-2016 17:55,0
409,56.34,50.0,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,Male,Anguilla,17-03-2016 23:39,1
410,48.73,27.0,34191.23,142.04,Versatile content-based protocol,Monicaview,Female,Bangladesh,09-07-2016 16:23,1
411,51.68,49.0,51067.54,258.62,Seamless cohesive conglomeration,Katieport,Female,Faroe Islands,28-06-2016 12:51,1
412,35.34,45.0,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,Female,Taiwan,18-06-2016 16:32,1
413,48.09,33.0,19345.36,180.42,Balanced motivating help-desk,West Travismouth,Female,Heard Island and McDonald Islands,28-05-2016 12:38,1
414,78.68,29.0,66225.72,208.05,Inverse high-level capability,Leonchester,Female,Israel,16-01-2016 16:40,0
415,68.82,20.0,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,Male,Bolivia,11-07-2016 15:45,0
416,56.99,40.0,37713.23,108.15,Sharable optimal capacity,Brownton,Female,Bahamas,16-07-2016 23:08,1
417,86.63,39.0,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,Male,Costa Rica,06-04-2016 21:20,0
418,41.18,43.0,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,Male,Myanmar,05-07-2016 00:54,1
419,71.03,32.0,57846.68,120.85,Advanced systemic productivity,Keithtown,Female,Netherlands Antilles,17-02-2016 23:47,1
420,72.92,35.0,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,Male,Czech Republic,15-03-2016 17:33,0
421,77.14,24.0,60283.98,184.88,Horizontal heuristic synergy,Janiceview,Male,Iceland,21-01-2016 18:51,0
422,60.7,43.0,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,Male,Palau,06-06-2016 22:41,0
423,34.3,41.0,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,Male,Libyan Arab Jamahiriya,16-05-2016 14:50,1
424,83.71,45.0,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,Male,Kazakhstan,17-04-2016 19:10,0
425,53.38,35.0,60803.37,120.06,Total local synergy,Alexanderview,Male,French Guiana,30-03-2016 01:05,1
426,58.03,31.0,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,Female,Tuvalu,29-06-2016 09:04,1
427,43.59,36.0,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,Male,Congo,26-05-2016 13:43,1
428,60.07,42.0,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,Male,United Kingdom,15-04-2016 10:16,1
429,54.43,37.0,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,Male,Luxembourg,31-05-2016 09:06,1
430,81.99,33.0,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,Female,French Polynesia,15-02-2016 14:13,0
431,60.53,29.0,56759.48,123.28,Networked even-keeled workforce,Williamsport,Female,Papua New Guinea,09-05-2016 10:21,1
432,84.69,31.0,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,Male,Maldives,07-07-2016 23:32,0
433,88.72,32.0,43870.51,211.87,Customer-focused system-worthy superstructure,East John,Male,Zambia,03-01-2016 17:10,0
434,88.89,35.0,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,Male,Cook Islands,17-07-2016 18:55,0
435,69.58,43.0,28028.74,255.07,Cross-group value-added success,Port Katelynview,Female,Congo,04-04-2016 18:36,1
436,85.23,36.0,64238.71,212.92,Visionary client-driven installation,Paulhaven,Male,Senegal,27-02-2016 12:34,0
437,83.55,39.0,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,Male,Myanmar,08-06-2016 20:13,0
438,56.66,42.0,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,Female,Dominican Republic,20-02-2016 10:52,1
439,56.39,27.0,38817.4,248.12,Configurable tertiary capability,North Tylerland,Male,Bahrain,23-03-2016 21:06,0
440,76.24,27.0,63976.44,214.42,Monitored dynamic instruction set,Munozberg,Female,Puerto Rico,07-06-2016 01:29,0
441,57.64,36.0,37212.54,110.25,Robust web-enabled attitude,North Maryland,Male,Chile,18-01-2016 15:18,1
442,78.18,23.0,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,Female,Bolivia,09-06-2016 19:32,0
443,46.04,32.0,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,Female,Serbia,30-05-2016 20:07,1
444,79.4,35.0,63966.72,236.87,User-centric intangible contingency,New Gabriel,Female,Malaysia,01-04-2016 09:21,0
445,36.44,39.0,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,Male,Estonia,31-05-2016 06:21,1
446,53.14,38.0,49111.47,109.0,Automated web-enabled migration,West Julia,Male,Greenland,03-07-2016 22:13,1
447,32.84,40.0,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,Female,Trinidad and Tobago,10-03-2016 01:36,1
448,73.72,32.0,52140.04,256.4,Universal contextually-based system engine,Richardsland,Male,Thailand,18-03-2016 02:39,0
449,38.1,34.0,60641.09,214.38,Optional secondary access,North Aaronchester,Male,Philippines,30-05-2016 18:08,1
450,73.93,44.0,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,Female,Niue,20-02-2016 00:06,0
451,51.87,50.0,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,Female,Afghanistan,10-03-2016 22:28,1
452,77.69,22.0,48852.58,169.88,Horizontal heuristic support,Morganfort,Male,Angola,21-06-2016 14:32,0
453,43.41,28.0,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,Female,Egypt,05-02-2016 15:26,1
